Company,Glassdoor_Review_Link,date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
Bloomberg,https://www.glassdoor.com/Reviews/Bloomberg-L-P-Reviews-E3096.htm,1/16/2019, Software,,Current Employee ,Great,More than 10 years,0,This company is the best.,There are no problems with this company.,,5,5,5,5,5,5
Bloomberg,https://www.glassdoor.com/Reviews/Bloomberg-L-P-Reviews-E3096.htm,4/17/2019, Senior Project Manager,"New York, NY",Current Employee ,Great company to grow in the FinTech industry,More than 8 years,0,"Fast moving
You will learn at your own pace","Fast moving
Most people can't keep up with the speed of things and become frustrated",,5,4,5,5,5,4
Bloomberg,https://www.glassdoor.com/Reviews/Bloomberg-L-P-Reviews-E3096.htm,4/17/2019, Senior Software Engineer,"New York, NY",Current Employee ,Adopt Rust as C++ successor?,More than 10 years,0,Development and company culture. Work and life balance.,"Adoption of new and modern technologies is still slow. C++ loses its popularity, while Rust gains. Time to adopt Rust to replace C++ to boost productivity and ease maintenance.",,5,5,5,5,5,5
Bloomberg,https://www.glassdoor.com/Reviews/Bloomberg-L-P-Reviews-E3096.htm,4/15/2019,,,Current Employee ,Depends on the team,More than 3 years,0,Pay/benefits are great. The company is innovative and well-funded. The culture of philanthropy makes it worthwhile to go to work.,Pockets within senior leadership are completely out of touch with employees. Office politics are demoralizing.,,4,4,4,4,5,2
Bloomberg,https://www.glassdoor.com/Reviews/Bloomberg-L-P-Reviews-E3096.htm,4/10/2019, Software Development Engineer,,Current Employee ,Great place to work,Less than a year,0,"It's great you don't need to be a manager to growth in your career. All the benefits including Sick days, healthcare, lunch, and snacks.",Long hours depends on the team,,4,4,4,4,5,4
Bloomberg,https://www.glassdoor.com/Reviews/Bloomberg-L-P-Reviews-E3096.htm,4/4/2019, Senior Software Engineer,"New York, NY",Current Employee ,Overall 8.0,More than 8 years,0,"Open culture
Good work life balance
Excellent health benefits
Free drink and snacks",Salary not competitive for senior employees compared to other big tech firms,,4,5,5,4,4,4
Bloomberg,https://www.glassdoor.com/Reviews/Bloomberg-L-P-Reviews-E3096.htm,4/5/2019, Senior Software Engineer,"New York, NY",Current Employee ,Good company to work,More than 8 years,0,Good dynamic and good place to learn. Good benefit,compensation is not as great as other big tech companies,,4,5,4,3,4,3
Bloomberg,https://www.glassdoor.com/Reviews/Bloomberg-L-P-Reviews-E3096.htm,3/26/2019,,"New York, NY",Current Employee ,Great leader for a legacy company,More than 3 years,0,"Working for mike Bloomberg, great benefits and pay","Company is stuck in the past with the terminal and monopoly thinking, feels every new product leader needs to have 20+ years at Bloomberg and doesn’t understand the market",Get rid of the Bloomberg hubris and learn to manage outside talent,4,5,5,2,5,3
Bloomberg,https://www.glassdoor.com/Reviews/Bloomberg-L-P-Reviews-E3096.htm,4/1/2019,,"New York, NY",Former Employee ,"Great benefits, good company culture",More than 3 years,0,"Fantastic benefits, including full health coverage and generous 401k match","Must be able to function in a highly fluid, matrixed work environment",,4,3,4,4,5,3
Bloomberg,https://www.glassdoor.com/Reviews/Bloomberg-L-P-Reviews-E3096.htm,4/11/2019, Sales Associate,"New York, NY",Former Employee ,Competitive atmosphere,More than a year,0,"Learn product knowledge and finesse yourself to great sales, can have rewarding pay outcome","Other employees will steal your sale, lack of structure and training, thrown in my first day",,3,4,2,3,3,2
