Company,Glassdoor_Review_Link,date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
Brown Brothers,https://www.glassdoor.com/Reviews/Brown-Brothers-Harriman-Reviews-E3668.htm,9/18/2018,,,Current Employee ,Fund Accounting Services,,0,Great place to work. Big family.,The pay is a bit less than competitors.,,5,5,5,5,2,5
Brown Brothers,https://www.glassdoor.com/Reviews/Brown-Brothers-Harriman-Reviews-E3668.htm,4/12/2019,,,Current Employee ,great people & great culture,More than 5 years,0,"forward looking, challenging, empathetic to employees",can be a bit stuck in its ways,,5,,,,,
Brown Brothers,https://www.glassdoor.com/Reviews/Brown-Brothers-Harriman-Reviews-E3668.htm,4/10/2019, Operations Specialist,"Boston, MA",Current Employee ,Good overall position with room to grow,More than a year,0,Good workplace environment with a sense of community if that is what you are looking for. You have to put yourself out there. Overall good training and assistance depending on the department you are working in. Set hours and rarely do you need to stay overtime,Although there is a lot of room for growth it may take a longer time than desired to reach promotions.,,4,4,4,4,3,4
Brown Brothers,https://www.glassdoor.com/Reviews/Brown-Brothers-Harriman-Reviews-E3668.htm,4/10/2019, Fund Accounting,"Boston, MA",Current Employee ,Great company,More than a year,0,nice people and great location,outdated technologies and monotonous tasks,,4,,,,,
Brown Brothers,https://www.glassdoor.com/Reviews/Brown-Brothers-Harriman-Reviews-E3668.htm,3/2/2019, Administrative Assistant,,Former Employee ,Nice stepping stone,More than 5 years,0,Young and lively employees. Bagels once a week!,"When someone left the group, you took on their work without any compensation.",,3,3,3,3,2,3
Brown Brothers,https://www.glassdoor.com/Reviews/Brown-Brothers-Harriman-Reviews-E3668.htm,2/8/2019,,"Jersey City, NJ",Current Employee ,Intern,Less than a year,0,,,,4,3,5,2,3,3
Brown Brothers,https://www.glassdoor.com/Reviews/Brown-Brothers-Harriman-Reviews-E3668.htm,1/31/2019, Operations Specialist,,Current Employee ,BBH Operations Specialist,,0,Good company name and benefits.,Uncompetitive compensation relative to the market.,,3,,,,,
Brown Brothers,https://www.glassdoor.com/Reviews/Brown-Brothers-Harriman-Reviews-E3668.htm,1/6/2019, Senior Vice President,,Former Employee ,Strong culture of people who care about clients and firm,More than 10 years,0,"Partnership structure allows for long-term focus
Long tenured employees understand how to collaborate to get work done, and they care about the clients and the firm","Projects often move slowly due to bureaucracy, leading to limited innovation
Conservative management approach leads to some short-sighted decisions",,4,3,5,3,3,3
Brown Brothers,https://www.glassdoor.com/Reviews/Brown-Brothers-Harriman-Reviews-E3668.htm,12/29/2018,,,Former Employee ,Great place for a middle manager seeking good work life balance,,0,,,,3,5,3,3,2,3
Brown Brothers,https://www.glassdoor.com/Reviews/Brown-Brothers-Harriman-Reviews-E3668.htm,12/14/2018, Analyst,"New York, NY",Former Employee ,Analyst,More than 5 years,0,Wonderful people and working environment.,Mobility within the company is difficult.,Provide more or bring in training.,2,1,1,3,3,2
Brown Brothers,https://www.glassdoor.com/Reviews/Brown-Brothers-Harriman-Reviews-E3668.htm,12/14/2018, Analyst,"New York, NY",Former Employee ,Analyst,More than 5 years,0,Wonderful people and working environment.,Mobility within the company is difficult.,Provide more or bring in training.,2,1,1,3,3,2
Brown Brothers,https://www.glassdoor.com/Reviews/Brown-Brothers-Harriman-Reviews-E3668.htm,11/20/2018, Product Analyst,"Boston, MA",Former Employee ,Product Analyst,Less than a year,0,Laid back and friendly environment.,Uses old technology in terms of software.,,4,4,4,4,4,4
Brown Brothers,https://www.glassdoor.com/Reviews/Brown-Brothers-Harriman-Reviews-E3668.htm,11/18/2018, Analyst,"New York, NY",Former Employee ,Analyst,More than a year,0,"Friendly environment, nice co-workers, good benefits","Salary, management, no work-life balance",,4,4,4,4,4,4
Brown Brothers,https://www.glassdoor.com/Reviews/Brown-Brothers-Harriman-Reviews-E3668.htm,11/20/2018,,,Former Employee ,operations specialist,,0,"decent salary, lots of growth opportunity, stable","not a diverse culture, can be siloed",,3,4,4,4,4,4
Brown Brothers,https://www.glassdoor.com/Reviews/Brown-Brothers-Harriman-Reviews-E3668.htm,11/6/2018,,,Former Employee ,Amazing experience,,0,"Great community, very friendly co-workers
Wonderful place for a college student to intern",Not the best technology. There's always some problem,,5,5,5,5,4,5
Brown Brothers,https://www.glassdoor.com/Reviews/Brown-Brothers-Harriman-Reviews-E3668.htm,10/18/2018,,,Former Employee ,High integrity long term focus,,0,"Very ethical firm, very well-run","Slow promotion path, underwhelming compensation",,4,,,,,
Brown Brothers,https://www.glassdoor.com/Reviews/Brown-Brothers-Harriman-Reviews-E3668.htm,10/23/2018,,,Former Employee ,Fund Accountant,,0,Culture and fostering of internal mobility,Lack of formal training and communication,,3,,,,,
Brown Brothers,https://www.glassdoor.com/Reviews/Brown-Brothers-Harriman-Reviews-E3668.htm,10/8/2018,,,Current Employee ,Culture,,0,It’s private so it’s not very intense. Good work life balance.,Reluctant to change which is not good for a financial industry,Be more open minded,4,5,4,2,3,3
Brown Brothers,https://www.glassdoor.com/Reviews/Brown-Brothers-Harriman-Reviews-E3668.htm,10/12/2018, Fund Accountant,"Boston, MA",Current Employee ,Needs Improvement,More than a year,0,"Great team environment
With the right attitude, opportunities to be promoted
Great Affinity groups","Office politics affected employees attitudes
Mundane tasks",Senior management needs to listen to junior managers,3,3,3,4,2,2
Brown Brothers,https://www.glassdoor.com/Reviews/Brown-Brothers-Harriman-Reviews-E3668.htm,10/9/2018,,,Current Employee ,Operations Specialist II,,0,Good learning and friendly team members,Salary compared to industry is less than stellar,,3,,,,,
Brown Brothers,https://www.glassdoor.com/Reviews/Brown-Brothers-Harriman-Reviews-E3668.htm,10/23/2018,,,Former Employee ,Not Flexible,,0,"When I first worked there 14 years ago, it seemed like a family-friendly company with family picnics; I felt valued; and an integral part of the firm- but 5 years into the job, that changed 180 degrees for me.","I felt extremely overworked. My unit at the time was approximately 35% short-staffed. I and two other employees went through divorces/family issues. There was a constant fear of losing my job. I wanted more flexibility and that was taken away. I wanted a position more aligned with my financial degree, but that was not taken seriously. I became relieved when they let me go over 6 years ago. And now I have years of experience as an Auditor at an equal-opportunity, flexible, family-friendly employer and love it!","There are many Harvard Business Review articles on valuing your employees, not overworking your employees, and putting your employees in the best suited positions for growth. Weighing the needs of an employee is NOT a liability.",1,1,1,1,1,1
Brown Brothers,https://www.glassdoor.com/Reviews/Brown-Brothers-Harriman-Reviews-E3668.htm,9/14/2018,,,Current Employee ,Review,,0,"Private partnership, flat organization, good culture",Lower entry level salaries than elsewhere,Transparency into compensation adjustments/promotions,4,,,,,
Brown Brothers,https://www.glassdoor.com/Reviews/Brown-Brothers-Harriman-Reviews-E3668.htm,9/2/2018, Senior Fund Accountant,"Boston, MA",Former Employee ,Worth serious consideration for a full length career,More than a year,0,"Great co-workers who are compassionate and determined. Modern facilities give it a tech company feel. Room for growth if you are willing to put in the years. Decent company match which fully vests after half a decade.

Management recognizes hard work and will attempt to satisfy employee needs whether that is an internal move or promotion.",Hours can be long but overtime can make up for it (no overtime for Supervisors and above). Unusual hours; late mornings and nights (can be a pro depending on life schedule).,,4,4,5,3,3,5
Brown Brothers,https://www.glassdoor.com/Reviews/Brown-Brothers-Harriman-Reviews-E3668.htm,9/1/2018,,"Jersey City, NJ",Current Employee ,Compliance team,More than a year,0,"Great company
Laid back, but professional
Decent perks/benefits
Once you're in, they try to keep you",Pay is notably lower than the market standard,,4,4,5,4,3,5
Brown Brothers,https://www.glassdoor.com/Reviews/Brown-Brothers-Harriman-Reviews-E3668.htm,8/25/2018, Equity Trader,"New York, NY",Former Employee ,Very good company to work for,More than 5 years,0,Great benefits and opportunity. Plenty of room to do a diverse number of things. Stick to their values in all phases of market cycles.,Acts in somewhat insulated manner from the industry and may not place much weight on best practices or outside experience that may drive value.,,4,4,5,5,4,4
Brown Brothers,https://www.glassdoor.com/Reviews/Brown-Brothers-Harriman-Reviews-E3668.htm,8/24/2018, Supervisor,"Centennial, CO",Current Employee ,Supervisor,More than 10 years,0,Great benefits and flexible work hours,I cannot think of any,Slow outdated applications. Company needs to invest in the technology.,5,5,2,5,5,5
Brown Brothers,https://www.glassdoor.com/Reviews/Brown-Brothers-Harriman-Reviews-E3668.htm,8/7/2018,,,Current Employee ,Senior Specialist,,0,Laidback and friendly atmosphere. Recommend,Tedious workload but that was expected,,5,5,5,5,5,5
Brown Brothers,https://www.glassdoor.com/Reviews/Brown-Brothers-Harriman-Reviews-E3668.htm,8/20/2018, Client Service Representative,"Boston, MA",Current Employee ,Fund Accounting Department,More than 3 years,0,Exposure to financial industry and fund accounting teams. Loved the management and people at BBH. Opportunity to grow withing the company,Toxic work environment. Long hours. Unfair pay for the work load. Work life balance was terrible.,,2,1,1,3,2,4
Brown Brothers,https://www.glassdoor.com/Reviews/Brown-Brothers-Harriman-Reviews-E3668.htm,8/6/2018,,,Current Employee ,management can do better with turnovers,,0,The people are great! Flexible schedule,Constant learning that never ends. It is draining at times.,,3,4,3,3,3,
Brown Brothers,https://www.glassdoor.com/Reviews/Brown-Brothers-Harriman-Reviews-E3668.htm,7/21/2018,,,Former Employee ,Internal Audit,,0,"Great department, caring managers that will train and develop you.",None - great department and bank to work for.,,5,5,5,5,5,5
