Company,Glassdoor_Review_Link,date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
Evercore,https://www.glassdoor.com/Reviews/Evercore-Partners-Reviews-E11361.htm,3/26/2019, Analyst,"New York, NY",Former Employee ,Great company,More than a year,0,#NAME?,#NAME?,,5,5,5,5,5,5
Evercore,https://www.glassdoor.com/Reviews/Evercore-Partners-Reviews-E11361.htm,3/24/2019, Equity Research Associate,,Former Employee ,good work environemnt,More than a year,0,"collegiate work environment
people are smart and nice to people
hours are ok not too bad
seamless orders on food are good
ubers home are provided after 9pm","lunch is not provided
seamless order limit is $25 which is low for dinner sometimes",,5,,,,,
Evercore,https://www.glassdoor.com/Reviews/Evercore-Partners-Reviews-E11361.htm,3/28/2019, Vice President,"New York, NY",Current Employee ,Proceed with caution,More than a year,0,"Tiny tiny bagels
Lesley’s monthly poems
Mediocre pizza delivered cold once a month
The opportunity to continue the bro experience well beyond college
Sleep deprivation guaranteed
Annual bonuses delivered after your yearly review by thankless SMD that made millions off you
Impossible workload, refusal to say no to any deal, and endless staffing assignments
The expectation of perfection from day one and an absolute intolerance for any kind of learning curve","White, male dominated culture
Pay well below market
Turning off highly discouraged
Incredibly hierarchical
Cliquish, gossipy, cutthroat, backstabbing environment
In one part of the company multiple people disappeared over a couple of months with no explanation at all, from all levels of staff. Very strange.
No training, no professional development, no communication, no HR protocol, no real chain of command
Administrative and support staff are treated like household staff, and required to the same work
Uber no longer provided
Seamless benefit only for dinner, not that there is time for lunch
Director level leadership motivates mainly by derision, this is not a culture of constructive or positive feedback unless it’s a deal announcement email with a thanks to _______ for their work to get this done",I’m sure they spend a lot of time on Glassdoor reflecting on how they could be better.,3,1,1,3,3,1
Evercore,https://www.glassdoor.com/Reviews/Evercore-Partners-Reviews-E11361.htm,1/25/2019, Administrative Assistant,,Current Employee ,Love my job,Less than a year,0,#NAME?,#NAME?,,5,4,5,4,5,4
Evercore,https://www.glassdoor.com/Reviews/Evercore-Partners-Reviews-E11361.htm,1/22/2019,,,Current Employee ,Intellectually stimulating and nice people,,0,#NAME?,#NAME?,,5,,,,,
Evercore,https://www.glassdoor.com/Reviews/Evercore-Partners-Reviews-E11361.htm,12/29/2018,,,Current Employee ,Great firm,,0,"strong leadership, great colleagues, amazing dealflow, good exit ops","long hours, sometimes require face time",,5,3,5,5,5,5
Evercore,https://www.glassdoor.com/Reviews/Evercore-Partners-Reviews-E11361.htm,12/14/2018,,,Former Employee ,Analyst,,0,#NAME?,"- Can be bureaucratic now that it's much larger
- Certain people can be toxic given it's investment banking",Continue to invest in top quality mid-tier talent and analysts will work hard for you!,5,5,5,5,5,5
Evercore,https://www.glassdoor.com/Reviews/Evercore-Partners-Reviews-E11361.htm,12/7/2018,,,Current Employee ,Good place to work,More than a year,0,"Smart people, great culture. Experience for life",I didn't find any as of now,,5,3,5,5,5,4
Evercore,https://www.glassdoor.com/Reviews/Evercore-Partners-Reviews-E11361.htm,12/5/2018,,,Former Employee ,"Intellectually Rigorous Place to Work, Very Good Experience",,0,Great place to get hands-on finance exposure. Management team is highly respectable.,"While the firm at large may be exceptional, your experience is going to be defined more by the particular group you're in.",,4,,,,,
Evercore,https://www.glassdoor.com/Reviews/Evercore-Partners-Reviews-E11361.htm,8/16/2018,,,Current Employee ,Vice President,,0,Great Culture and awesome people,Slow in development of younger workforce,,5,4,5,4,4,4
Evercore,https://www.glassdoor.com/Reviews/Evercore-Partners-Reviews-E11361.htm,8/8/2018,,,Former Employee ,Intern,,0,"Nice office/location, very cohesive strategy and management.",None that I can think of,,5,,,,,
Evercore,https://www.glassdoor.com/Reviews/Evercore-Partners-Reviews-E11361.htm,8/14/2018, Executive Assistant,,Current Employee ,Hit or miss EA roles.,,0,"There can be excellent work life balance but that depends on who you work for. They have nice perks like a cafe, opportunity for a bonus, and holiday parties and gifts. Health benefits are great, average vacation and holiday package.","Depending on who you work for being an EA actually means being a personal assistant and doing personal favors, returning library books, buying things on ebay for someones family, researching flower arrangements, etc, in addition to all the meeting scheduling, travel, and heavy calendaring. A lot of EA's in my department work heavy overtime due to this. Consider learning to exercise good boundaries because you might be pushed beyond reasonable limits. This is also the first place I've ever worked where assistants feel guilty stepping away or taking lunches, which does not seem too healthy. There is also a heavy gossip culture amongst assistants, watch out for that.",,3,3,4,3,3,3
Evercore,https://www.glassdoor.com/Reviews/Evercore-Partners-Reviews-E11361.htm,7/27/2018,,,Current Employee ,Great Experience and Culture,,0,"Working at Evercore has provided opportunities to contribute to a wide range of transactions. The firm culture is excellent, especially relative to other firms in the industry.","The firm is somewhat inflexible in advancement timing, and tends to only promote people after a set period of time in each position.",,5,3,4,5,4,4
Evercore,https://www.glassdoor.com/Reviews/Evercore-Partners-Reviews-E11361.htm,6/16/2018,,,Current Employee ,Vp,,0,"Amazing place to work. Great people, great atmosphere",Long hours. Low money to start,,5,5,5,5,4,5
Evercore,https://www.glassdoor.com/Reviews/Evercore-Partners-Reviews-E11361.htm,6/27/2018,,,Former Employee ,Analyst,,0,Culture is really great. Definitely best on the street,Hours can be long and group dependent,,4,,,,,
Evercore,https://www.glassdoor.com/Reviews/Evercore-Partners-Reviews-E11361.htm,6/20/2018,,"New York, NY",Former Employee ,IBD Analyst,,0,"generally nice people (except for a couple of the industry groups), collaborative corporate culture with emphasis on culture building among the employee base (relative to peers)","standard drawbacks associated with investment banking (unpredictable hours, low value-add grunt work); firm has been expanding a bit too quickly from a headcount perspective which as diluted the quality of people a bit",,4,,,,,
Evercore,https://www.glassdoor.com/Reviews/Evercore-Partners-Reviews-E11361.htm,6/18/2018,,,Former Employee ,Vice President,,0,"Great culture, comradery, sense of belonging to a top-notch team. Good leadership at both the investment bank and Evercore ISI, the equity research, S&T arm.",Evercore ISI's culture of buying up and bolting together top sector teams from the street means there's little interest in promoting from within - not the best for morale of junior members and for talent retention. Lots of younger talent has left.,"Evercore ISI's build-out stage is complete - concentrate more on developing, retaining, promoting, and paying talent internally.",4,4,5,5,4,4
Evercore,https://www.glassdoor.com/Reviews/Evercore-Partners-Reviews-E11361.htm,3/28/2018,,,Current Employee ,Great place to work & great people,,0,"great people, great culture, great team spirit and growth opportunities",I did not experience any cons,keep up the great work,5,5,5,5,5,5
Evercore,https://www.glassdoor.com/Reviews/Evercore-Partners-Reviews-E11361.htm,4/11/2018, Managing Director,,Current Employee ,"Good place to work, good momentum, growing",More than 10 years,0,The firm is growing with good momentum.,"The firm is growing primarily with external recruiting of star bankers and analysts, not cultivating talent from within.",,3,2,4,1,3,4
Evercore,https://www.glassdoor.com/Reviews/Evercore-Partners-Reviews-E11361.htm,3/22/2018, Associate,"New York, NY",Current Employee ,How every investment bank should be,Less than a year,0,"Growth opportunity, talented people, great benefits, good culture and sense of community.

Evercore is one of the top banks in the industry and growing at an incredible pace. Working here is a privilege and most importantly, a door to opportunity in further building my career. People are approachable, even at the very top, if you are willing to be confident, outgoing, and professional. The top executives recognize talent and WILL notice you if you know your stuff inside and out. I work very closely with top partners at the firm and I can’t say enough wonderful things about them- and these are people who have enormous accomplishments with world recognition. The company makes a genuine effort to enforce a sense of community regardless of your level. If you believe in the saying that working hard will eventually get you somewhere, then work here. If you study and work the long hours, you will move up. That’s how life works and Evercore strongly values commitment and loyalty to excelling in your craft. This company has strong values and it shows in their talent. Great benefits, solid salary, and wonderful growth opportunities. I look forward to building my career with them.","Long work hours, work becomes life but you still love it. This firm values devotion to excellence- the executives come from intense backgrounds and lots of success. If you don’t put work first, you won’t survive. This isn’t necessarily a con, but it does mean sacrificing a large part of your personal life for long hours. It will pay off immensely though.",Keep going and love your company culture. Only good things to come!,5,5,5,5,5,5
Evercore,https://www.glassdoor.com/Reviews/Evercore-Partners-Reviews-E11361.htm,3/24/2018,,,Former Employee ,Analyst,,0,Great training program for incoming analysts,Long hours but you learn a lot,,4,3,4,5,4,4
Evercore,https://www.glassdoor.com/Reviews/Evercore-Partners-Reviews-E11361.htm,3/10/2018, Vice President,"New York, NY",Current Employee ,This company is great to work for,More than 3 years,0,Feels like a family and the firm continually tries to encourage collaboration. Also has great compensation and benefits for the employees.,"They are Growing faster than they can keep up. Seating, policies etc sometimes are confusing because they company is growing so fast",,4,5,5,5,5,5
Evercore,https://www.glassdoor.com/Reviews/Evercore-Partners-Reviews-E11361.htm,2/2/2018, Administrative Assistant,"New York, NY",Current Employee ,Wonderful culture,More than 10 years,0,wonderful people. Like a family.,you never stop working really,,5,3,5,4,5,4
Evercore,https://www.glassdoor.com/Reviews/Evercore-Partners-Reviews-E11361.htm,1/7/2018, Investment Banking Analyst,"New York, NY",Former Employee ,Best Analyst Program,More than a year,0,"Best culture in any investment banking analyst program
Good work-life balance for an analyst program
Pay is top of the street
Most of the people are great to work with","Experience can be very group-specific
No 401k match
Long hours (associated with the industry)",Focus on hiring and training better associates,5,4,5,4,4,4
Evercore,https://www.glassdoor.com/Reviews/Evercore-Partners-Reviews-E11361.htm,1/21/2018, M&A Analyst,"New York, NY",Current Employee ,M&A Analyst,Less than a year,0,Generally good company culture,Most of the live deals are middle-market sell-sides,,4,4,5,5,5,5
Evercore,https://www.glassdoor.com/Reviews/Evercore-Partners-Reviews-E11361.htm,1/22/2018, ITY,"New York, NY",Current Employee ,"Solid Shop, Good Culture",More than a year,0,"I work in IT which has a rewarding culture, some stress, but nothing compared to a typical investment bank. Exposure to new tech and fun projects.","When I think back at all the other investment banks I worked at, I could rattle off a laundry list of what was lacking. Evercore is a good place to work and I cannot come up with any negatives at the moment, I have been there for 2 years and nothing stands out.","What makes this place fun to be part of is the small, caring culture. People come in, contribute and go home. There is no back stabbing that I can see, no / little politics. Hope it stays that way.",4,4,4,4,4,4
Evercore,https://www.glassdoor.com/Reviews/Evercore-Partners-Reviews-E11361.htm,1/10/2018,,,Former Employee ,Great Investment Banking Experience,,0,Great culture with great people at the analyst level while was there - learned a ton as deal teams are super small and lots of responsibility is delegated to analysts,"Long hours, difficult road ahead; associates coming out of MBA programs typically lean on analysts to do work and can't produce much for their first year or so",Shorten the analyst program and offer analysts an opportunity for direct promote after 2 years.,4,1,3,4,5,3
Evercore,https://www.glassdoor.com/Reviews/Evercore-Partners-Reviews-E11361.htm,11/7/2017, Investment Banking Analyst,"Houston, TX",Current Employee ,Great place to do lots of work,Less than a year,0,Interesting deals. High level of responsibility. Great exit opportunities.,You work a tooonnnn. It is brutal.,The trade off is pretty fair. I knew what I was getting myself into. Focus on work-life balance would reduce retention.,5,4,5,5,5,5
Evercore,https://www.glassdoor.com/Reviews/Evercore-Partners-Reviews-E11361.htm,11/14/2017,,,Current Employee ,good place to work,,0,smart people work at evercore,"long hours, subject to change at any moment",,4,3,3,3,2,3
