Company,Glassdoor_Review_Link,date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
Fannie Mae,https://www.glassdoor.com/Reviews/Fannie-Mae-Reviews-E247.htm,7/5/2018, Human Resources Team Member,"Washington, DC",Current Employee ,Fannie Mae company review,More than 10 years,0,"Great benefits, good leaders. Plenty of opportunities for growth.","Some employees feel entitled and usually create a fuss if they don’t get what they want. However, if the answer is really no, then it’s a no.",,5,5,5,5,5,4
Fannie Mae,https://www.glassdoor.com/Reviews/Fannie-Mae-Reviews-E247.htm,4/5/2019,,"Washington, DC",Former Employee ,Great Company to Work for,More than 10 years,0,Great salaries and benefits package,None that I can think of at moment,,5,5,5,5,5,5
Fannie Mae,https://www.glassdoor.com/Reviews/Fannie-Mae-Reviews-E247.htm,4/3/2019,,,Former Employee ,Good atmosphere but low salaries,More than 3 years,0,Technical work cutting edge and latest,but management poor and need improvement,Salaries are very low and discrepancy too much,5,3,3,3,1,3
Fannie Mae,https://www.glassdoor.com/Reviews/Fannie-Mae-Reviews-E247.htm,3/25/2019, Applications Quality Engineer,"Herndon, VA",Former Employee ,"Best benefits, forward thinking environment, fun to work at",More than 10 years,0,Fannie is always trying to improve. There are many opportunities for education and self-improvement. Salaries are good and the benefits are unbeatable.,Limited locations. You must be near Washington DC if you're a technical employee.,,5,4,4,4,5,4
Fannie Mae,https://www.glassdoor.com/Reviews/Fannie-Mae-Reviews-E247.htm,3/20/2019, Senior Human Resources BP,"Herndon, VA",Former Employee ,Excellent place to work,More than 10 years,0,"Flexibility, diverse, excellent benefits and bonus structure.",Always over complicating issues etc. Always reorganizing,Stream line executives and promote from within,5,5,4,3,5,3
Fannie Mae,https://www.glassdoor.com/Reviews/Fannie-Mae-Reviews-E247.htm,3/24/2019, Product Owner,,Current Employee ,Great company to work for,More than 8 years,0,Great Benefits and work life balance,"some teams are very political though, Not good if you are a geek and want to invent things",,4,5,3,2,5,3
Fannie Mae,https://www.glassdoor.com/Reviews/Fannie-Mae-Reviews-E247.htm,3/19/2019, Senior Pricing Analyst,"Washington, DC",Current Employee ,Great place to work,More than 5 years,0,"Beautiful office space, great culture, interesting work, flexibility to work remotely","It's a large organization, so change is slow",,5,5,5,5,5,5
Fannie Mae,https://www.glassdoor.com/Reviews/Fannie-Mae-Reviews-E247.htm,3/9/2019, Financial Engineer,,Current Employee ,Fannie Mae is a great place to work,More than 10 years,0,You can't find a more diverse place to work!,The number of meetings could be reduced,,5,4,5,4,4,4
Fannie Mae,https://www.glassdoor.com/Reviews/Fannie-Mae-Reviews-E247.htm,3/7/2019, Senior Applications Development Analyst,"Washington, DC",Current Employee ,Work done the Fannie way,More than 5 years,0,Work Life Balance. Good people.,Things are done the Fannie way,,5,5,3,4,5,4
Fannie Mae,https://www.glassdoor.com/Reviews/Fannie-Mae-Reviews-E247.htm,2/28/2019, Analyst,,Current Employee ,Great,More than a year,0,Great work life place. Pay well.,Heavy office politics. Culture can be vary based on the department.,Focuses more on the talent development.,5,5,5,3,4,3
Fannie Mae,https://www.glassdoor.com/Reviews/Fannie-Mae-Reviews-E247.htm,2/26/2019,,,Current Employee ,Solid Company; Hard to get promoted,More than 5 years,0,Great benefits: 401k: 6% full match + 2%. Maternity: 10 weeks full pay. Subsidized parking and metro benefits. Guaranteed bonuses after a certain level.,Difficult to get promoted within the role. Need to apply to new role to get level increase.,,4,4,4,4,4,5
Fannie Mae,https://www.glassdoor.com/Reviews/Fannie-Mae-Reviews-E247.htm,2/26/2019,,,Former Employee ,Great company!,More than a year,0,Great management and flexible. Good hours,None they were great compay,,5,,,,,
Fannie Mae,https://www.glassdoor.com/Reviews/Fannie-Mae-Reviews-E247.htm,2/23/2019,,,Current Employee ,Many opportunities for career moves. Management could use additional training.,More than 5 years,0,It is a large company with many opportunities for lateral career moves and upward mobility. The compensation and benefits are generally meet industry average.,"Job titles and pay grades are confusing and sometimes inappropriate based on the role. Varying levels of experience amongst managers with different standards of performance expectations (some are harsher or more perfectionistic while some are more lenient or more realistic) and sometimes unclear, shared, or split responsibility for employees which is a common management mistake. Work/life balance varies across different teams as some teams offer less flexibility than others. Visible difference between treatment of FTEs and contractors. Common theme amongst numerous contractors that they wouldn't want to work at the company full-time.","Management needs further training on how to effectively evaluate performance, coach and develop employees. Perfectionistic managers may stunt career growth and development of employees and inaccurately assess consistency of performance based on proven track record of delivering upon goals. These types of managers do very little to support the professional growth and development of employees and do not have supportive relationships with their directs but rather treat their professional relationships as business transactions instead of a human connection. At the relationship level, harsher managers may sometimes do more damage than good in order to meet overly aggressive business goals.

More lenient managers tend to have better relationships and tend to be more realistic about an employee's strengths and weaknesses and are better at identifying a good fit for their skillset. At the same time, these types of managers may not enforce the same high standard for performance expectations.

Management should work to strike a balance for this.",4,4,4,5,4,3
Fannie Mae,https://www.glassdoor.com/Reviews/Fannie-Mae-Reviews-E247.htm,2/22/2019,,,Current Employee ,Company that is changing,,0,Company is moving to a more agile work environment. Dynamic grouping allows for more targeted solutions and problem solving. Very good benefit package available to employees.,"Quick moving environment, where things are not always in sync. Change can be challenging and may not be easy for everyone. Talk of work/life balance not always reflective of reality",,4,3,4,5,,
Fannie Mae,https://www.glassdoor.com/Reviews/Fannie-Mae-Reviews-E247.htm,3/9/2019,,"Reston, VA",Current Employee ,Work culture,More than 3 years,0,Good company with benefits and perks,Too much politics and no one cares for the hard work and contribution,,3,,,,,
Fannie Mae,https://www.glassdoor.com/Reviews/Fannie-Mae-Reviews-E247.htm,2/20/2019, Devops Engineer,,Current Employee ,Awesome benefits and great place to work,,0,,- Work life balance really depends on the team you're on,,4,,,,,
Fannie Mae,https://www.glassdoor.com/Reviews/Fannie-Mae-Reviews-E247.htm,2/17/2019, Project Manager,,Former Employee ,Mixed Bag,More than 10 years,0,"Benefits, flexible work hours, casual dress, telework","Systematically getting rid of experienced personnel, just like any other corporation in that it is no longer employee-focused. They got rid of the Pension plan.",,4,4,3,3,4,3
Fannie Mae,https://www.glassdoor.com/Reviews/Fannie-Mae-Reviews-E247.htm,2/28/2019, Project Analyst IV,"Washington, DC",Current Employee ,Pretty good place to work,More than 3 years,0,"Competitive salary
Very good benefits
Reasonably good job security","Frequent re-orgs
Can be difficult to move up",,3,,,,,
Fannie Mae,https://www.glassdoor.com/Reviews/Fannie-Mae-Reviews-E247.htm,2/12/2019, Senior Software Engineering Manager,"Reston, VA",Current Employee ,Good place to work,More than 10 years,0,"Provides good work life balance, great benefits",Opportunities for growth can be better,,5,5,4,3,5,3
Fannie Mae,https://www.glassdoor.com/Reviews/Fannie-Mae-Reviews-E247.htm,2/12/2019, Business Analyst II,,Current Employee ,Innovative Culture,Less than a year,0,"I've been working at Fannie Mae for almost a year and since I have arrived, I have definitely witnessed the innovative culture. Things are always changing and I love it. The most inspiring thing is all the change that is happening at Fannie Mae is centered around the customer.",Still a lot of firm politics that you have to navigate through. Could be hard for employees to be promoted because of this.,,5,5,5,3,4,5
Fannie Mae,https://www.glassdoor.com/Reviews/Fannie-Mae-Reviews-E247.htm,2/7/2019, Business Analyst,"Plano, TX",Former Employee ,Great company!,More than 10 years,0,"Lots of opportunities
Technology is moving toward the new millenium","If you like constant change, this is the place to work",,4,5,4,4,5,4
