Company,Glassdoor_Review_Link,date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
Fidelity Investments,https://www.glassdoor.com/Reviews/Fidelity-Investments-Reviews-E2786.htm,3/6/2019, Associate Software Engineer,"Durham, NC",Current Employee ,Java Developer,Less than a year,0,Welcoming Environment in the workplace,Ever changing life style in the workplace,,5,5,5,5,5,5
Fidelity Investments,https://www.glassdoor.com/Reviews/Fidelity-Investments-Reviews-E2786.htm,6/11/2018, QA Engineer,"Smithfield, RI",Current Employee ,Great career-starting company,More than 3 years,0,Benefits including profit sharing and bonuses are great. The breadth of this company provides a great opportunity to try out different career paths or boost your current one.,"In my current role, I am working overtime more often than I'd like with recognition that seems to only go so far until it sizzles out. That may be tied to the size of the company itself, where promotions work in a ""trickle down"" manner.",No advice. I like the direction Abby is taking this company. I think sticking to our current principles will turn out to be a big success.,5,4,5,4,5,5
Fidelity Investments,https://www.glassdoor.com/Reviews/Fidelity-Investments-Reviews-E2786.htm,4/17/2019,,,Current Employee ,"Best Benefits Available, Great Opportunities For Advancement",,0,"Very focused on the employee experience.
The best, most extensive, and most customized benefits of any company I've ever worked for.
Well expressed values.
There is a lot of chance to try new things, moving up, sideways, or diagonally while still remaining at the same company.
Leaving each day feeling that I actually had a down-steam impact on helping someone increase their financial wellness.","Pay tends to be lower than equivalent roles at other firms, but when you factor in the tax-advantages of the benefits offered, you often come out ahead of what a competing firm would pay.
There is a LOT of hierarchy here, So many departments and divisions that it is easy to loose touch with all that the company does.
It takes a couple years to get used to the internal Jargon - everything has an acronym!",Keep up the fantastic work Abby. Thank you so much to you and your family for providing us such a great place to work!,5,3,5,5,5,4
Fidelity Investments,https://www.glassdoor.com/Reviews/Fidelity-Investments-Reviews-E2786.htm,4/17/2019, Senior Cloud Technologist,"Westlake, TX",Current Employee ,"Best Financial, Technical and Innovating Company",More than a year,0,"1. A lot of opportunities to learn and grow.
2. Lesser internal politics.
3. Support from the manager on both personal and professional.
4. Excellent collaboration with teammates.
5. Planning ahead and for future.
6. Clear Vision and directions from senior management.
7. Availability of open forums to raise issues and concerns to the higher management.
8. Strict adherence to company policies and rules.
9. Zero tolerance on sexual or non-sexual misconducts.
10. Common goals among the enterprise business units.
11. Very good bonus and benefits.
12. Industry best 7% 401k match and 10% profit sharing.
13. Good Work-life balance.
14. And Many more :)",There are some legacy problems but we are moving fast and will be able to resolve them quickly.,"Under Abby's guidance, Fidelity is doing well and I will suggest to keep moving forward in both technology and innovations for achieving common goals.",5,5,5,5,5,5
Fidelity Investments,https://www.glassdoor.com/Reviews/Fidelity-Investments-Reviews-E2786.htm,4/18/2019, Customer Relationship Advocate,,Former Employee ,Great place to start,Less than a year,0,Fidelity has a lot of supporting individuals and good growth in organization,"Too many people in training, everything is online, no one-on-one focus",,5,,,,,
Fidelity Investments,https://www.glassdoor.com/Reviews/Fidelity-Investments-Reviews-E2786.htm,4/17/2019, Vice President Financial Consultant,"New York, NY",Former Employee ,"Ethical, customer friendly and employee friendly company",More than a year,0,"Great emphasis on continuing education for Financial Consultants,. The company always emphasizes creating financial plans that puts clients in a better situation according to generally accepted principles of financial planning.","It’s best to join the company young and completely buy in to Fidelity’s view of how financial plans should be drawn up. Those with a tremendous amount of external experience may struggle vs those who completely drink the Fidelity Kool Aid. There is almost no flexibility or creativity among Financial Consultants. If Fidelity we’re managing their business 100% according to plan, it would not matter at all which FC you worked with because every single one of them would offer you precisely the same solutions.",There is very little to improve on. Fidelity is an amazingly well run organization. I believe the constraints on FC creativity are a necessary evil caused by the sheer heft of 6 or 7 trillion dollars of assets under administration and their business model.,4,4,5,4,4,5
Fidelity Investments,https://www.glassdoor.com/Reviews/Fidelity-Investments-Reviews-E2786.htm,4/11/2019, Financial Representative,"Framingham, MA",Former Employee ,Great Company,More than a year,0,Fidelity was by far one of the best companies that I have worked for. I think I was lucky enough to get placed in an investor center that had great management.,Could pay more in comparison to other companies,,5,4,5,4,4,5
Fidelity Investments,https://www.glassdoor.com/Reviews/Fidelity-Investments-Reviews-E2786.htm,4/14/2019, Human Resources,"Boston, MA",Former Employee ,small fish in big pond,More than 3 years,0,"benefits are terrific
wonderful people throughout the company",Easy to get overlooked in this large company,Could use a better review process,4,3,4,4,4,4
Fidelity Investments,https://www.glassdoor.com/Reviews/Fidelity-Investments-Reviews-E2786.htm,4/9/2019, SYSTEMS SERVICES and SUPPORT ANALYST,"Merrimack, NH",Current Employee ,the best place to start your career,More than 3 years,0,"- great benefits
- flexible work schedule (depending on your team, you could have the opportunity to work from home)
- lots of training opportunities
- a culture that encourages career growth and movement
- no dress code, definitely a relaxed company that's focused on what matters: the customers and the services","- some benefits take up to a year to kick in
- base pay could be more competitive
- leadership expects folks at the team level to be agile, but they don't drive agility amongst themselves
- there's little communication among upper management to each other on what their teams are working on to prevent duplication of efforts... you could probably find 3 or 4 tools across the BUs that do the same exact thing","Make sure that you're taking steps to be agile, too. People cannot be ""agile"" and have strict deadlines at the same time. All that leads to is cutting corners and bad quality software. Setting goals are completely fine, but be flexible and make sure not EVERYTHING is a high priority... weigh initiatives against each other, then decide what pieces are high priority versus medium versus low. Your dev teams will thank … 
Show More",5,5,4,5,4,4
Fidelity Investments,https://www.glassdoor.com/Reviews/Fidelity-Investments-Reviews-E2786.htm,4/13/2019, Operations Associate,"Jersey City, NJ",Current Employee ,Ops Associate,More than a year,0,"Great Benefits, Friendly co-workers, good work-life balance","Low pay, monotonous work, could be very boring work material at times",,4,4,4,4,2,3
Fidelity Investments,https://www.glassdoor.com/Reviews/Fidelity-Investments-Reviews-E2786.htm,4/11/2019, Financial Representative,"Salt Lake City, UT",Current Employee ,Excellent,Less than a year,0,"Lots of PTO, great people, encouraged to learn and move up/out of current role",Pay seems to be slightly below industry standard,Never stop encouraging a friendly and exciting culture,5,5,5,5,4,5
Fidelity Investments,https://www.glassdoor.com/Reviews/Fidelity-Investments-Reviews-E2786.htm,4/7/2019," Director, Quality Management",,Former Employee ,Great company,More than 8 years,0,"Benefits, culture, opportunity, flexibility, people",Slightly political as you move up. Stopped focusing on results and focused on a narrative,,5,5,5,5,5,4
Fidelity Investments,https://www.glassdoor.com/Reviews/Fidelity-Investments-Reviews-E2786.htm,4/3/2019, Retirement Planner Associate,"Westlake, TX",Current Employee ,Not a bad place to start off,Less than a year,0,"Flexibility: This entry-level position allows me the ability to set my own schedule. As long as I work 40 hours in a week and make a certain number of calls a day, I can show up at 7 AM or 10 AM. (This is uncommon throughout the company)

Time off: Fidelity starts at 18 days of paid time off per year. After two years, it is bumped to 23. I love this. It's higher than what a lot of companies offer people with … 


Show More","Pay: You'll get less in salary than at other financial services firms. Fidelity tries to compensate for this with their generous benefits programs. I don't have much experience to compare these to other firms.
Networking: As mentioned above, networking is necessary to move up here. It doesn't come naturally to me, so I put it in the cons. It does require extra time and thought, and the company won't pay you to shadow other positions.",,4,5,4,5,5,4
Fidelity Investments,https://www.glassdoor.com/Reviews/Fidelity-Investments-Reviews-E2786.htm,4/11/2019, Customer Service Representative,"Covington, KY",Former Employee ,Pros and cons,More than 3 years,0,"Great Managers and coworkers
Good PTO, Maternity leave, and paid holidays","pressured overtime work
All of mandatory shift changes
Hard to advance within call center environment",,4,4,5,3,5,5
Fidelity Investments,https://www.glassdoor.com/Reviews/Fidelity-Investments-Reviews-E2786.htm,4/11/2019,,,Current Employee ,Great employer,Less than a year,0,"Good pay, lots of hours, opportunity for growth","Location, stress, extreme focus on statistics for your perfomance",,4,3,5,5,4,4
Fidelity Investments,https://www.glassdoor.com/Reviews/Fidelity-Investments-Reviews-E2786.htm,4/9/2019,,,Current Employee ,Great place to work,,0,Great positive place to work,Management needs to acknowledge hard work,,5,5,5,5,5,5
Fidelity Investments,https://www.glassdoor.com/Reviews/Fidelity-Investments-Reviews-E2786.htm,3/31/2019, Customer Relationship Advocate,"Merrimack, NH",Current Employee ,Excellent training,More than a year,0,"The licensing is tough but they'll help you every step of the way. The firm contributes to your quality of life every way they can - dental visits in the mobile dental unit, softball teams, HSA, health insurance, matching 401k, creating an all-for-one-and-one-for-all approach to challenging seasons (think tax time, end of business year).","It's corporate America, so if you feel uncomfortable sharing your credit history and more about yourself before you are hired, or don't like being held to metrics for your bonuses and performance reviews, it's not the place for you.","Great job overall, very supportive atmosphere and higher-ups are in touch with the common issues affecting the reps",5,5,5,5,4,4
Fidelity Investments,https://www.glassdoor.com/Reviews/Fidelity-Investments-Reviews-E2786.htm,4/18/2019, Customer Service Representative,,Former Employee ,Customer Service Representative,Less than a year,0,"Good training program, great coworkers","Starting out, you will not get the choice of days you work; be prepared to be on the phone for 10 hours per day with a lunch break and 2 other breaks",,3,4,5,,,
Fidelity Investments,https://www.glassdoor.com/Reviews/Fidelity-Investments-Reviews-E2786.htm,4/3/2019,,,Current Employee ,Amazing company,More than 10 years,0,"Excellent benefits, strong leadership, constant innovation.",n / a n / a n / a,"Keep being the strong, committed leader and coaches.",5,5,5,5,5,5
Fidelity Investments,https://www.glassdoor.com/Reviews/Fidelity-Investments-Reviews-E2786.htm,4/17/2019,,,Former Employee ,Review of work,Less than a year,0,Fun place to work all the time,Work/life balance isn't that great,,2,,,,,
