Company_ID,Review_ID,date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt
C000017,R00001,1/11/2019,NA,NA,Former Employee ,Good Company,NA,0,"Good people, interesting work, great benefits in general",Financial challenges impact employee stability,NA
C000017,R00002,4/18/2019, Call Center Customer Service Representative,NA,Former Employee ,Fast pace and a lot of information to remember.,NA,0,Great Benefits and fun people to work with.,"Micromanagement, and the training could be better",NA
C000017,R00003,4/18/2019, Commercial Insurance Specialist,"Stevens Point, WI",Former Employee ,Recommended,More than 5 years,0,"I had great coworkers with good benefits. Also, had the ability to work from home.",Sometimes there was a lack of communication.,NA
C000017,R00004,4/12/2019, Senior Underwriter,"New York, NY",Current Employee ,No Place For Us,More than 5 years,0,"Benefits are really good, including gradually increasing PTO,health,401k match,remote working abilities and schedule flexibility.","Senior positions continue to be filled by outside hires,
No up-or-out for middle management, and Apathetic long time employees riding out the latest changes until new management changes direction,
New work flow includes more committees than the US Congress.","Identify talented workers within our company committed to our mutual success for promotion and allow them to interview for higher roles.

No need to flush the culture of the company, just because of the previous ELT. It's legacy has given it a strong market position.

Don't reduce staff unless you've made the role redundant with technology."
C000017,R00005,4/15/2019, Senior Information | Cyber Security Risk & Control Lead,NA,Former Employee ,"Cyber Governance, Risk, Compliance (GRC) | Technology Risk & Control | Information Security",More than 8 years,0,There are opportunities for growth and development,Recent changes have affect overall employee morale,NA
C000017,R00006,4/13/2019, Account Executive,"San Diego, CA",Former Employee ,Inside sales,More than a year,0,Great first inside sales position where company provides leads,Not all managers are created equal,Let employees have a say in which team they go to
C000017,R00007,4/10/2019, Senior Actuarial Analyst,"New York, NY",Current Employee ,Bad Work-Life balance,NA,0,Benefits are very good. It’s a big company so you can get a lot of exposure to different lines and functions,The atmosphere with constant reorganization’s is full of stress and employees who are over worked.,NA
C000017,R00008,4/10/2019, Senior Systems Engineer,"Fort Worth, TX",Former Employee ,Average,More than 5 years,0,Great people. Freedom to work as I saw fit.,"Turnover from layoffs is seemingly never ending.
No raises.",NA
C000017,R00009,4/14/2019, Audit Manager,"New York, NY",Current Employee ,Disappointed,More than a year,0,"Good Company and benefits. However, being an insurance company there are not too much differences if you get a policy in other company",management doesn't care about employees. the excessive amount of changes generate too much confusion between actions and messages from senior management.,NA
C000017,R00010,4/11/2019, Actuary,"New York, NY",Current Employee ,Pricing actuary,Less than a year,0,Great place to learn. Can get involved in different project.,Is not for the person who is looking for a steady working environment.,NA
C000017,R00011,4/9/2019, Financial Advisor,"Denver, CO",Current Employee ,Financial Advisor,More than a year,0,Incredible support system and flexible structure. Company pushes for an entrepreneurial culture. Intelligent local leaders that help newer advisors transition and grow their practice.,None to mention at this time.,Keep up the great work.
C000017,R00012,4/9/2019, Systems Analyst,"Houston, TX",Former Employee ,Laid off,Less than a year,0,"Challenging work, benefits, and nice people",Poor Management and no employee loyalty,NA
C000017,R00013,4/4/2019, Office Administrator,"New York, NY",Current Employee ,Typical Corporate Politics,More than a year,0,Good insurance plan options/ PTO,Upper level management doesn't do enough to retain young talent,NA
C000017,R00014,4/8/2019,NA,NA,Former Employee ,great job,NA,0,great environment pay location co workers,no social life tough balance,NA
C000017,R00015,4/5/2019, Senior Program Manager,NA,Current Employee ,"Great benefits and compensation, but going through significant change",NA,0,NA,NA,Get all major RIFs over in one go to prevent job security concerns and start building again!
C000017,R00016,4/8/2019, Senior Information Officer,"New York, NY",Current Employee ,good opportunity to take on more,More than 10 years,0,good opportunities for those who want to excel,NA,NA
C000017,R00017,4/5/2019, Account Executive,"San Diego, CA",Current Employee ,"Great company to work for, rotten job to do.",More than a year,0,"AIG treats their employees like gold. Excellent compensation, great benefits/health insurance, unheard of PTO.",NA,NA
C000017,R00018,4/3/2019, Investigator,NA,Former Employee ,Ok place to work,More than 3 years,0,"Work from home, company car",NA,NA
