Company,Glassdoor_Review_Link,date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
Goldman Sachs,https://www.glassdoor.com/Reviews/Goldman-Sachs-Reviews-E2800.htm,4/5/2019, Technology Analyst,"New York, NY",Current Employee ,Risk Engg,Less than a year,0,Great Culture and paid leave and broad range of teams,Can give more remote work allowance,,5,5,5,5,4,5
Goldman Sachs,https://www.glassdoor.com/Reviews/Goldman-Sachs-Reviews-E2800.htm,4/11/2018, Executive Assistant,"New York, NY",Former Employee ,Great corporate environment,More than 10 years,0,"They take care of their people in every way. Very impressive facility at the NYC headquarters, with all the comforts. Strong corporate structure to make sure no one is misused. Good, transparent leadership.","Not really a con, but not a lot of handholding if you are a slow learner. They expect top-tier, smart work from every employee. If you want to move up from an administrative position, you will have to lobby for it - nothing will just fall in your lap here.",,5,4,5,3,5,4
Goldman Sachs,https://www.glassdoor.com/Reviews/Goldman-Sachs-Reviews-E2800.htm,4/16/2019, Technology Associate,"Jersey City, NJ",Current Employee ,Best financial firm to work for,More than 5 years,0,great technology stack and smart people,salary structure is not kind.,,4,3,4,4,2,4
Goldman Sachs,https://www.glassdoor.com/Reviews/Goldman-Sachs-Reviews-E2800.htm,4/13/2019, Auditor,,Former Employee ,I Can't Say Anything Bad,,0,"They desire to their employees succeed.
They are a well-known business that looks good on a resume.","Pay isn't very high.
Working environment is very serious and competitive.",Loosen up. Have fun.,4,,,,,
Goldman Sachs,https://www.glassdoor.com/Reviews/Goldman-Sachs-Reviews-E2800.htm,4/13/2019,,,Former Employee ,Great place to work.,,0,Fast paced. Not everyone may like that though.,Long hours. I often stayed late.,,4,,,,,
Goldman Sachs,https://www.glassdoor.com/Reviews/Goldman-Sachs-Reviews-E2800.htm,4/7/2019, Software Engineer,"New York, NY",Former Employee ,Working as GS Engineer,More than a year,0,"They pay a lot, even for entry level engineers.",You feel restricted to certain skills.,,4,,,,,
Goldman Sachs,https://www.glassdoor.com/Reviews/Goldman-Sachs-Reviews-E2800.htm,4/4/2019, Goldman Sachs Analyst,"New York, NY",Former Employee ,"It's everything like you think it is, and then some!",More than a year,0,". If you are ambitious, the road to DC from Wall St is through Goldman Sachs
. Long hours are rewarded, incompetence is mercilessly crushed, survival of the fittest",". Coke, Addy usage very high, but discreet. So you never really know if you coworker is a rock star by birth, or from using stimulants
. Very alpha-male culture, as a woman it can sometimes be intimidating",. Accept and embrage usage of stimulants (esp w/ Millenials / Gen Z ) instead of making it taboo. You'll see productivity skyrocket as we will no longer be anxious.,5,3,5,5,5,5
Goldman Sachs,https://www.glassdoor.com/Reviews/Goldman-Sachs-Reviews-E2800.htm,4/2/2019, Associate,"North Salt Lake, UT",Current Employee ,Incredible Growth Opportunity,More than 3 years,0,Flat Organization with positive involvement from senior management.,"High expectations that can cause ""burn out""",Continue to empower junior analysts and provide transparency on their future growth.,5,3,5,5,5,5
Goldman Sachs,https://www.glassdoor.com/Reviews/Goldman-Sachs-Reviews-E2800.htm,4/2/2019, Goldman Sachs Analyst,,Current Employee ,Good firm,,0,great training system to help young professions,Work can be repetitive after a while,,5,,,,,
Goldman Sachs,https://www.glassdoor.com/Reviews/Goldman-Sachs-Reviews-E2800.htm,4/17/2019,,"New York, NY",Former Employee ,Stale culture and aloof management,More than 3 years,0,"Decent enough bonus to get you hooked
Health center on site","Banking has impossible hours
Cookie cutter bland hires
Too many relatives of senior bankers
Such dated tech","Upgrade tech because nobody actually believes it's a technology company
Trim down staff bloat
Hire more outside the Ivy's",2,1,1,2,4,1
Goldman Sachs,https://www.glassdoor.com/Reviews/Goldman-Sachs-Reviews-E2800.htm,4/16/2019, Product Control Analyst,"Salt Lake City, UT",Current Employee ,"Redundant back office task work, selfish management, constant cost cutting measures.",More than a year,0,A few managers and employees are bright and fun to work with.,"Constant cost cutting measures making it an increasingly less attractive place to work. Managers will set unrealistic mobility and flexibility expectations that they do not hold up to. Many managers entice new joiners by telling them there are opportunities for internal mobility or physical location mobility, which happens rarely. If you are okay with working a redundant back office role it's a good option, but things get boring quickly and value is not great for work life balance for how little the wages are.",Be a better corporation to work for.,2,2,2,2,2,1
Goldman Sachs,https://www.glassdoor.com/Reviews/Goldman-Sachs-Reviews-E2800.htm,3/29/2019, Vice President,"New York, NY",Current Employee ,Best for college grads,More than 10 years,0,"Nice culture (as long as you work for a good manager)
Good Technology",Need to be managing up and across - a lot to get ahead.,,4,3,4,4,4,4
Goldman Sachs,https://www.glassdoor.com/Reviews/Goldman-Sachs-Reviews-E2800.htm,4/11/2019, Vice President Human Resources,"New York, NY",Former Employee ,Review,More than 10 years,0,Great working with so many smart people,Long hours; serious unconscious gender bias amongst the sr. managers.,,3,1,3,4,5,4
Goldman Sachs,https://www.glassdoor.com/Reviews/Goldman-Sachs-Reviews-E2800.htm,3/23/2019, Team Assistant,,Current Employee ,Nice place,More than 3 years,0,"Good salary, nice people, bonuses",People can be condescending sometimes,,5,,,,,
