text,Area harvested (km2),Gross Production (m tonnes),Yield per km2 (tonnes),$ per kilo,$ per tonne,Gross Production value ($bn) 2014,Value per km2 2014,,
Wheat1,"2,154,895",671,311,,,120,"55,687",FAOSTAT,http://faostat3.fao.org/
Maize,"1,773,795",872,492,,,140,"78,927",FAOSTAT,http://faostat3.fao.org/
Rice,"1,631,991",720,441,,,228,"139,707",FAOSTAT,http://faostat3.fao.org/
Soybeans,"1,049,973",242,230,,,75,"71,430",FAOSTAT,http://faostat3.fao.org/
Beans,"536,762",24,45,,,16,"29,808",FAOSTAT,http://faostat3.fao.org/
Barley,"495,260",133,269,,,18,"36,345",FAOSTAT,http://faostat3.fao.org/
Rapeseed,"340,851",65,191,,,21,"61,610",FAOSTAT,http://faostat3.fao.org/
Sugar Cane,"260,886",1833,"7,026",,,68,"260,650",FAOSTAT,http://faostat3.fao.org/
Cassava,"203,852",263,"1,290",,,31,"152,071",FAOSTAT,http://faostat3.fao.org/
Potatoes,"192,021",365,"1,901",,,70,"364,543",FAOSTAT,http://faostat3.fao.org/
Vegetables (minor),"189,596",270,"1,424",,,58,"305,914",FAOSTAT,http://faostat3.fao.org/
Palm,"172,438",300,"1,740",,,25,"144,980",FAOSTAT,http://faostat3.fao.org/
Coffee,"100,398",9,90,,,11,"109,564",FAOSTAT,http://faostat3.fao.org/
Grapes,"69,694",67,961,,,44,"631,331",FAOSTAT,http://faostat3.fao.org/
Sugar Beet,"49,008",270,"5,509",,,13,"265,263",FAOSTAT,http://faostat3.fao.org/
Tomatoes,"48,037",162,"3,372",,,68,"1,415,575",FAOSTAT,http://faostat3.fao.org/
Tobacco,"42,910",7,163,,,12,"279,655",FAOSTAT,http://faostat3.fao.org/
Tea,"32,760",5,153,,,6,"183,150",FAOSTAT,http://faostat3.fao.org/
Cannabis,"6,418",0.07,11,,,306,"47,678,404",UNODC,https://www.unodc.org/documents/wdr2014/World_Drug_Report_2014_web.pdf
Opium Poppy,"2,967",0.007,2,,,18,"5,954,246",UNODC,https://www.unodc.org/documents/wdr2014/World_Drug_Report_2014_web.pdf
Coca (cocaine),"1,337",0.22,164,,,50,"37,696,335",UNODC,https://www.unodc.org/documents/wdr2014/World_Drug_Report_2014_web.pdf
