Company,Glassdoor_Review_Link,date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
Morgan Stanley,https://www.glassdoor.com/Reviews/Morgan-Stanley-Reviews-E2282.htm,4/18/2019, Vice President,"New York, NY",Former Employee ,A great place to work,More than 5 years,0,"Morgan Stanley is among one of the best Investment Banks on the street. Not only it has a great work environment, the management takes the time and effort to cultivate the people in the firm. Everyone is very professional and work as a team.",There isn't really much negative about the firm.,,5,5,5,3,4,4
Morgan Stanley,https://www.glassdoor.com/Reviews/Morgan-Stanley-Reviews-E2282.htm,4/15/2019, Vice President Operations,"New York, NY",Former Employee ,Operations Hit or Miss,More than 10 years,0,"Work Life balance, volunteering opportunities,",bad management can ruin a good job,"hire people who know what they are doing in critical areas, not people with no experience",4,4,5,4,4,5
Morgan Stanley,https://www.glassdoor.com/Reviews/Morgan-Stanley-Reviews-E2282.htm,4/11/2019, Technical Analyst,,Current Employee ,Good place to start but alot of red tape,More than a year,0,"Huge bonuses
Great work life balance",Upper management not engaged day to day,,4,,,,,
Morgan Stanley,https://www.glassdoor.com/Reviews/Morgan-Stanley-Reviews-E2282.htm,4/11/2019, Executive Director,"New York, NY",Current Employee ,The people are the difference,More than 10 years,0,"First Class salary, benefits, clients and co-workers",Make sure it's done right the first time. More bureaucratic now due to government regs,,5,4,5,4,5,4
Morgan Stanley,https://www.glassdoor.com/Reviews/Morgan-Stanley-Reviews-E2282.htm,4/7/2019, Intern,,Former Employee ,overall feeling,,0,"intensive working pressure, learn so much",working hours is a lot than expected,,5,,,,,
Morgan Stanley,https://www.glassdoor.com/Reviews/Morgan-Stanley-Reviews-E2282.htm,4/7/2019, Vice President,"New York, NY",Current Employee ,Good culture. Good technical people.,More than 3 years,0,Collaborative and generally down to earth people. Good work-life balance.,Zero salary increase. Hard to get promoted. HR is a pain to deal with.,Connect to the people you work with.,4,2,3,1,2,1
Morgan Stanley,https://www.glassdoor.com/Reviews/Morgan-Stanley-Reviews-E2282.htm,4/7/2019, Operations Analyst,,Former Employee ,Analyst Working at Morgan Stanley,More than a year,0,great people and culture to be part of,cutoffs happen out of nowhere,,5,,,,,
Morgan Stanley,https://www.glassdoor.com/Reviews/Morgan-Stanley-Reviews-E2282.htm,4/6/2019, Investment Banking Analyst,,Current Employee ,Competitive,,0,#NAME?,#NAME?,,4,,,,,
Morgan Stanley,https://www.glassdoor.com/Reviews/Morgan-Stanley-Reviews-E2282.htm,4/18/2019, Associate,,Current Employee ,Associate review sales and trading,More than 5 years,0,"Great people, firm reputation is strong. A lot of people to learn from.",Underpaid and tough work environment,,3,4,4,4,3,3
Morgan Stanley,https://www.glassdoor.com/Reviews/Morgan-Stanley-Reviews-E2282.htm,4/16/2019, Operations Analyst,,Former Employee ,"Fast Paced, Low Pay, Lousy Training",,0,"- 20 days of vacation, 7 sick days
- Nice view from the office and nice area to take a walk in
- Good name on resume","- Must take 10 consecutive vacation days at a time
- Pay is very low. Everybody is underpaid. MS doesn't even reimburse for expensive parking.
- Too many temps utilized
- High attrition rates and reorganization of teams
- Training is pathetic for such a high stakes job. Very hard to get a high level view of the business when there are so many buttons to click and NY constantly chasing you.
- No work events (no holiday parties, on-site events, team building activities)
- The facilities themselves are terrible. Restrooms don't have soap.","Pay a higher salary, train better. HR needs to stop misleading people.",3,3,4,2,1,4
