Company,Glassdoor_Review_Link,date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
New York Life,https://www.glassdoor.com/Reviews/New-York-Life-Reviews-E2915.htm,2/28/2019, Financial Services Professional,,Current Employee ,Great Culture,,0,Everyone is helpful and great resources to do well,commission based no matter what anyone tells you,,5,5,5,5,5,
New York Life,https://www.glassdoor.com/Reviews/New-York-Life-Reviews-E2915.htm,4/17/2019, Financial Representative,"Harrisburg, PA",Current Employee ,New York Life - Hard Work Pays Off,More than a year,0,"Get to make your own schedule. Unlimited earning potential. When I say ""unlimited"" -- I mean that with a certain level of work and attention to detail, you can easily take home $60,000. With higher level of work and attention to detail, you can take home much much more! New York Life is a great place to get exposed to the insurance and financial services industry, and get the training necessary to grow and succeed in the industry as well. The staff at the Harrisburg office are knowledgeable and encourage new agents to succeed -- with weekly education, and feedback from partners who have already succeeded in the industry.","Need to put the time in. If your idea of work is to show up, and hope something good happens, this isn't the job for you. Especially the first few years, you really have to put in effort -- which means some early mornings and some late nights.",,5,4,5,4,5,4
New York Life,https://www.glassdoor.com/Reviews/New-York-Life-Reviews-E2915.htm,4/16/2019,,"Harrisburg, PA",Current Employee ,Employee Friendly Company,More than 10 years,0,"I have worked for NYL for 10+ years and enjoy the stability of a company that stands behind its clients, agents and employees. They offer a quality training program for both agents and employees and are now focused on enhancing the customer experience with updated access to policy information. They offer great employee benefits and reward long term employees with ""years of service"" awards.",Some working systems seem outdated and could be more user friendly.,,5,5,5,5,5,5
New York Life,https://www.glassdoor.com/Reviews/New-York-Life-Reviews-E2915.htm,4/9/2019, New York Life Agent,"Sunrise, FL",Current Employee ,Great to get ahead in the finance industry,More than 3 years,0,Great Training and starter bonuses,Small range of financial products,,4,5,5,5,5,5
New York Life,https://www.glassdoor.com/Reviews/New-York-Life-Reviews-E2915.htm,4/9/2019, Agent,"New York, NY",Current Employee ,Good Company!,Less than a year,0,Great training and resources! Ability to learn a lot.,"Unlimited income as well as unlimited months of no income due to commission only pay. Also they do not tell you that they will be charging monthly fees for the printer, phone, licensing fees, E&O insurance and to even use there software needed in order to make a sale and generate commission. In total you will be looking at paying over $150 per month to work for them. There charges just appear on your ledger one day without anyone telling you this will happen.",Amazing upper management. The partners at the firm are useless.,4,5,5,4,1,5
New York Life,https://www.glassdoor.com/Reviews/New-York-Life-Reviews-E2915.htm,4/15/2019, Financial Services Representative,,Former Employee ,Great company but not a 'Mom' friendly place to work,More than a year,0,"Great company, financially sound company, lots of learning and training",Not an easy place to work for Moms. I was lead to believe I would be able to make my own schedule but that is NOT the case for at least 3+ years.,,2,1,4,4,3,3
New York Life,https://www.glassdoor.com/Reviews/New-York-Life-Reviews-E2915.htm,3/25/2019, Administrative Manager,"San Francisco, CA",Former Employee ,"Solid corporate structure,",More than 8 years,0,"Steady decent income, very strong procedures, excellent reputation as a moral company",its sad to watch all the sales people fail year after year. Really high turnover and you can tell some of the sales people who will fail but they bring on board just for numbers.,none,4,4,4,4,4,4
New York Life,https://www.glassdoor.com/Reviews/New-York-Life-Reviews-E2915.htm,3/21/2019, Investment Accountant,"New York, NY",Current Employee ,Great company,Less than a year,0,NYL provides you with so many tools to better yourself as an individual in society and as a professional.,"Very old school so it takes a while to adapt to new technology. To them, its the way they have been able to stay relevant over 150 years!",,5,5,5,5,5,4
New York Life,https://www.glassdoor.com/Reviews/New-York-Life-Reviews-E2915.htm,4/12/2019, Registered Representative,"New York, NY",Current Employee ,if you really love insurance or are transitioning a book,Less than a year,0,Good comp structure. Good permanent insurance. Good for estate planning and long term care. Good for politicians.,Management is non existent. You get a one hour commercial every week and little else. The support people at the New York City general office are some of the laziest people I have ever met. Anything more complicated than a delivery receipt takes them a month to get right. They will have you running in circles unless you know every requirement and step of the process ahead of time and hound them daily until they do what you need them to. Back office support is non existent. I spend more time on hold just to be hung up on than I did with the client doing the paperwork I’m checking on.,"Cut your middle office and back office by half and make their pay tied to representative reviews, response times and accuracy.",2,1,1,2,5,1
New York Life,https://www.glassdoor.com/Reviews/New-York-Life-Reviews-E2915.htm,3/20/2019, Financial Services Professional,,Former Employee ,100% Commisions,,0,Endless opportunity for growth and great company and training in the sales cycle.,100% commissions and out of pocket expenses.,,4,,,,,
