Company,Glassdoor_Review_Link,date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
Prodigy Finance,https://www.glassdoor.com/Reviews/Prodigy-Finance-Reviews-E1305056.htm,4/7/2019, MBAProduct Management,"New York, NY",Former Intern ,Great experience working at fast moving startup,Less than a year,0,"free food on tues/thurs, flexible hours",hard to work across time difference,build more robust intern program,5,5,5,5,5,5
Prodigy Finance,https://www.glassdoor.com/Reviews/Prodigy-Finance-Reviews-E1305056.htm,3/24/2019,,Cape Town (South Africa),Current Employee ,Opportunities Everywhere!,Less than a year,0,"*Opportunities to learn are everywhere
*Smart and driven group of people working together
*Very fun environment to work in",Can be quite fast-paced and unpredictable,,4,4,5,3,3,4
Prodigy Finance,https://www.glassdoor.com/Reviews/Prodigy-Finance-Reviews-E1305056.htm,2/6/2019, Analyst,Cape Town (South Africa),Current Employee ,Great for international exposure,Less than a year,0,"International, Fun, AWESOME office, fun work environment","Growth can be limited, decisions can take long",,4,4,4,3,3,3
Prodigy Finance,https://www.glassdoor.com/Reviews/Prodigy-Finance-Reviews-E1305056.htm,12/8/2018,,,Former Employee ,Operations Consultant,,0,"Casual dress code, young and dynamic employees.",Micro-management and lack of trust from senior management.,,3,5,4,4,4,
Prodigy Finance,https://www.glassdoor.com/Reviews/Prodigy-Finance-Reviews-E1305056.htm,10/30/2018, Anonymous Intern,,Former Intern ,Intern,,0,"Team, Location, Projects, Company Mission",Lack of full time opportunities for interns,,5,5,5,3,4,5
Prodigy Finance,https://www.glassdoor.com/Reviews/Prodigy-Finance-Reviews-E1305056.htm,10/21/2018,,Cape Town (South Africa),Current Employee ,The real deal,More than a year,0,"Great culture truly driven by its mission
Diverse skills and culture
Everyone has a voice and can contribute","None, except the normal challenges of a high growth company",,5,4,4,4,4,4
Prodigy Finance,https://www.glassdoor.com/Reviews/Prodigy-Finance-Reviews-E1305056.htm,12/28/2017,,,Current Employee ,"Smart People, Innovative Space",,0,"We are doing something that is going to have real impact
Calibre of people
Flexibility to work how / when / where I want to
Great perks
There's just a great energy here [we work hard, but the work is exciting and the people great]",None currently that I can think of,,5,5,5,5,5,5
Prodigy Finance,https://www.glassdoor.com/Reviews/Prodigy-Finance-Reviews-E1305056.htm,10/13/2017,,Cape Town (South Africa),Current Employee ,Best in Class,More than a year,0,"Best people, awesome benefits and a fantastic work culture where the work you're doing really makes a difference to people's lives across the globe. Working with some of the smartest and kindest people around the world and having fun doing it!",There are no cons for joining Prodigy!,,5,5,5,5,5,5
Prodigy Finance,https://www.glassdoor.com/Reviews/Prodigy-Finance-Reviews-E1305056.htm,4/13/2017, Research Data Coordinator,Cape Town (South Africa),Current Freelancer ,Prodigy freelancer review,More than a year,0,Based in Cape Town and fun and vibrant management who keep me occupied and part of the team who are doing great work for MBA student loans.,working from home so missing a lot of the community activity.,,5,5,,,,
Prodigy Finance,https://www.glassdoor.com/Reviews/Prodigy-Finance-Reviews-E1305056.htm,1/25/2017,,Cape Town (South Africa),Current Employee ,Best global start up in the fintech space,,0,"We're an international company with HQ in London and operations in Cape Town. Biz Dev in NYC - we couldn't ask for better locations to work from.
Healthy Snacks
Flexible working hours
Work with Purpose - changing lives
Active Environmental Policy
Social Budget
Generous Maternity and Paternity Leave
Generous Leave days
Gym and Yoga Benefits
Medical Aid and Pension
Young culture
Smart people",Hiring too quickly struggling to maintain focus and culture.,,5,4,5,5,4,5
Prodigy Finance,https://www.glassdoor.com/Reviews/Prodigy-Finance-Reviews-E1305056.htm,1/17/2017,,,Former Employee ,Internship,,0,"Smart people, working for a great cause, generous perks & salary",Can't think of anything negative,,5,,,,,
