Company,Glassdoor_Review_Link,date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
Quicken Loans,https://www.glassdoor.com/Reviews/Quicken-Loans-Reviews-E7856.htm,2/13/2019, Recruiter,"Detroit, MI",Current Employee ,Working at Quicken Loans Family of Companies,More than a year,0,"Pretty solid environment, work hard and get equal results.","Hours can get long if you're not careful, but if you're efficient that shouldn't be an issue.",Isms are fun.,5,4,5,5,5,4
Quicken Loans,https://www.glassdoor.com/Reviews/Quicken-Loans-Reviews-E7856.htm,2/8/2019, Mortgage Banker,,Former Employee ,DO NOT WORK HERE (5 stars so it doesn’t get buried),More than a year,0,,"Horrible company to work for. Their sales tactics are overly pushy and questionable, and the people who run the company are all bros that peaked in college (more on this to come).

During my time here, I had multiple “leaders” and I was instructed to mislead clients into options that had no benefit. You sell on their ignorance. If a client doesn’t realize they’re losing money over 30 years, you sell it. You’ll be told to sell the worst loans so your leaders can win competitions.

You’re not allowed to leave your desk - sometimes they bring in breakfast, lunch AND dinner so you stay at your desk and on the phones all day. Recently i was off the phone for 30 minutes and the regional director asked where i was - i was eating lunch and once i was done my team had a meeting on why it’s not acceptable to leave the phones that long.

“Leaders” will insult you - they say they’re just playing but we all know how it is. You’ll be sworn at and called names and expect you to “laugh it off.”

The compensation plans and the company in general are very misleading - if you’re not hitting their unrealistic goals, expect to make enough for the month to barely get by if you have low expenses. I would recommend anyone who is looking into this company to think twice before accepting a position. I was bought in by the “fun work environment” and “culture.”

They promote this idea that it's a fun work environment - again, that’s how i was sold. The office theme is much like The Great Gatsby, with the bright colors throughout and fancy decor. There’s a ping pong table, pool table, popcorn machines, slushy machines, free snacks (which get old after a month), Golden Tee, tricycles, etc.. You can enjoy those either during training your first month or lunch (again, god forbid you take more than 20 minutes out of a 10+ hour day to eat lunch).

They push you and push you until there isn't a single ounce of energy left in you. They brainwash you into thinking that working 70+ hour work weeks is the norm, where if you work a 60 hour week you don’t want to succeed and have no drive. They select favorites and who gets better lead flow, and you’re given recycled leads that top mortgage bankers failed to sell (for obvious reasons: low credit score, no income, bankruptcy, etc. aka you’re wasting the clients time with false hope).

This job is the definition of Modern Day Slavery. If you drink the kool-aid and become brainwashed to thinking this is normal and a great company to work for, have at it. They act like they own you and shame you for wanting to have a work/life balance.",,5,1,1,1,1,1
Quicken Loans,https://www.glassdoor.com/Reviews/Quicken-Loans-Reviews-E7856.htm,4/17/2019, Mortgage Banker,"Cleveland, OH",Current Employee ,Great Training,More than 3 years,0,"You make a lot of money and work with amazing, encouraging, hard workers. It's a great company with high quality from the leadership down.","It's very driven, so there are constant goals to be met and you work 60 hours a week.","Give more time off to team members. Nothing happens in the morning, start later in the morning.",4,2,5,5,5,4
Quicken Loans,https://www.glassdoor.com/Reviews/Quicken-Loans-Reviews-E7856.htm,4/12/2019, Trainer,"Detroit, MI",Former Employee ,Either a place to start and leave or stay for life,More than 5 years,0,,"- The line between work and personal life get blurred
- Excessively ""rah rah"" work environment
- Hard to move to positions that meet interests",,4,2,4,3,3,3
Quicken Loans,https://www.glassdoor.com/Reviews/Quicken-Loans-Reviews-E7856.htm,4/11/2019, Account Specialist,"Detroit, MI",Current Employee ,Overall great place,Less than a year,0,Great culture and atmosphere to be a part of,The hours vary every week,,4,3,4,5,3,
Quicken Loans,https://www.glassdoor.com/Reviews/Quicken-Loans-Reviews-E7856.htm,4/9/2019, Underwriter,"Detroit, MI",Former Employee ,Great place to work,More than 5 years,0,,,,5,5,5,5,5,3
Quicken Loans,https://www.glassdoor.com/Reviews/Quicken-Loans-Reviews-E7856.htm,4/5/2019, Associate Banker,"Detroit, MI",Current Employee ,I just received my offer!,Less than a year,0,the culture of the company is uplifting,no cons that i can think of,,5,5,5,5,5,5
Quicken Loans,https://www.glassdoor.com/Reviews/Quicken-Loans-Reviews-E7856.htm,4/16/2019, Mortgage Banker,"Detroit, MI",Current Employee ,Opportunity comes at a cost,More than a year,0,"If you are willing to trade in your time for the opportunity to build an amazing career, this is a great place. It's a fast-paced sales job, and you need to be willing to work 7:30-9:00pm, most days, 5-6 days a week, most weeks, period. Do that, and follow the amazing coaching and leadership to a tee, and you'll succeed. Try to go your own way, or to do anything short of close, close close the sale... you'll struggle. Your pay is based on exceeding goal, and goal is meant to be met by half the region or so. Hit goal and you'll see $2800/mo hourly plus about $4000 commission.

You can absolutely find success. The team gives you every single opportunity to be financially set, however as a banker, it is accepted that you will not have a life outside of work, period. After 4 years of extremely high success and hours, you may become a level 5 President's Club banker, who can sometimes work from home but will enjoy $20,000 in commissions each month for the same volume that earns intro bankers $4,000-10,000. That's the tradeoff: time for payscale and some flexibility.","Miss goal, even by one or two, and you'll be looking at $2800 hourly and around $1000 commission. For 70 hours a week (yes, 70, no matter what your tiering is), you better be pushing yourself to earn the business. Not to mention, clients drop out of process, no big deal. Just be sure you write enough business to make up for the hit.

You will be free most days from 8-10pm, and maybe one day a weekend. You are expected to come into the office on weekends, and encouraged to come both days. Goal is meant to be hit, and you are meant to come in 27 out of 30 days a month, believe it.","Get rid of ACE compensation; it's discouraging your bankers and encouraging seasoned talent to look elsewhere. We desperately need to make compensation competitive again because we all know it isn't. Our bankers are getting snatched up left and right by less proficient companies, and that is because of a mindset of ""marketshare > our people"". I love this company and our culture, however the way bankers view their worth is often in a way that will surely have a negative and lasting impact on our culture.",3,1,5,5,2,4
Quicken Loans,https://www.glassdoor.com/Reviews/Quicken-Loans-Reviews-E7856.htm,4/1/2019, Mortgage Banker,"Cleveland, OH",Former Employee ,Great people and culture,Less than a year,0,people and culture are amazing,"long strenuous hours and lots of ""having"" to stay late",,5,5,5,5,5,5
Quicken Loans,https://www.glassdoor.com/Reviews/Quicken-Loans-Reviews-E7856.htm,4/13/2019, Instructional Designer,"Detroit, MI",Former Employee ,Great company to start career,More than 5 years,0,"Company has plenty of resources (i.e. learning tools, technology, equipment) that will allow you to do your job efficiently

Outstanding benefits

Lots of opportunities to move to different positions within the company","The left-hand never knows what the right is doing.

This company still hasn't figured out what instructional designers do or how they can be leveraged to increase business results.",,3,2,2,5,5,1
