Company,Glassdoor_Review_Link,date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
Santander,https://www.glassdoor.com/Reviews/Santander-Reviews-E828048.htm,3/21/2019, Store Manager,"New York, NY",Former Employee ,Stay away,More than a year,0,Your teams desire to be successful,"The culture is terrible. Staffing is always short and customers are forced to wait forever to get served. They say simple, personal and fair but not sure for who. Terrible place to work.",Fix the culture and staff your branches,5,1,1,2,3,1
Santander,https://www.glassdoor.com/Reviews/Santander-Reviews-E828048.htm,4/10/2019, Senior Specialist,"Dallas, TX",Current Employee ,"Change, change, change",More than 8 years,0,The business is implementing resources to help individuals grow.,There seem to be many times when things are changed without being planned well.,Constant change without clear direction can be counter productive.,3,3,3,3,3,
Santander,https://www.glassdoor.com/Reviews/Santander-Reviews-E828048.htm,4/8/2019, Collections Specialist,"Reading, PA",Current Employee ,Rate a Company,Less than a year,0,"Great benefits and schedule, the training time is great also !",Should have one main system to view accounts.,"Monthly feedback would be great, good or bad.",5,5,5,5,5,5
Santander,https://www.glassdoor.com/Reviews/Santander-Reviews-E828048.htm,4/3/2019, Senior Associate Business Analyst,"Dorchester, MA",Current Employee ,Santander - Review From a Fairly New Employee,Less than a year,0,"Good people, competitive salary, improving corporate culture, many opportunities for further career growth.

I can only speak for my limited view of the company when I write this, but the word on the street often gives Santander a bad reputation in terms of being a desirable place to work. My exposure so far sees this view as unwarranted or out-of-date.","It is a big, international bank and comes with many of the challenges facing companies of this size. There's a lot of red tape, processes, and inefficiency. It does seem that the company is taking on many of these challenges but there needs to be a continued commitment for improvements to continue. If you've worked in a big bank before, none of these challenges will be new or surprising to you. If you are used to small companies that can move quickly and desire a work environment like that, then this is not your best fit.",Keep working to pare red tape and streamline internal processes that can make it harder for employees to perform their job functions effectively. It seems based on my limited knowledge that these efforts are underway and I look forward to seeing the results of continued efforts.,4,3,3,5,4,3
Santander,https://www.glassdoor.com/Reviews/Santander-Reviews-E828048.htm,4/1/2019, Loan Processor,"Philadelphia, PA",Current Employee ,Santander -Villanova,Less than a year,0,They have great work environment.,The pay is not that good.,,4,5,5,3,2,4
Santander,https://www.glassdoor.com/Reviews/Santander-Reviews-E828048.htm,3/27/2019, IT Auditor,"Boston, MA",Current Employee ,Great team but senior management needs improvement,Less than a year,0,"Great working atmosphere, flexibility to work from home, decent benefits","Extreme working hours occasionally, Not a great room for growth",Promote internally and take all aspects into consideration for decision making.,3,4,4,3,4,3
Santander,https://www.glassdoor.com/Reviews/Santander-Reviews-E828048.htm,3/25/2019, Branch Operations Manager,"Howell, NJ",Current Employee ,It’s okay,More than 3 years,0,"The systems are updated, I work with good people","Pay should be better for all the work I put into my job, work home balance",Pay better,3,1,3,2,4,2
Santander,https://www.glassdoor.com/Reviews/Santander-Reviews-E828048.htm,3/24/2019, Director,"Boston, MA",Former Employee ,Avoid this company,More than 5 years,0,40 hour workweeks with little excess hours,Doesn't nurture or develop employees. You're on your own for developing your career,,3,5,2,1,4,3
Santander,https://www.glassdoor.com/Reviews/Santander-Reviews-E828048.htm,3/23/2019, Teller I,"Back Bay, MA",Former Employee ,Great Places to work need great managers,Less than a year,0,Learning and Growth opportunities. Great account benefits,Management only cares about sales. Treats employees like Garbage.,,4,2,3,4,5,2
Santander,https://www.glassdoor.com/Reviews/Santander-Reviews-E828048.htm,3/19/2019, Universal Banker,"Cheltenham Village, PA",Current Employee ,First Rodeo,Less than a year,0,,"ALOT of information to take in, technically not a con. On a personal level, not company wise, but not enough action for me on platform.",,5,4,5,5,5,5
Santander,https://www.glassdoor.com/Reviews/Santander-Reviews-E828048.htm,3/12/2019, Senior Associate,"Boston, MA",Current Employee ,A decently professional work environment,Less than a year,0,75 State Street provides a high quality work space. 401K match kicks in after one-month of tenure.,lounge has limited choice of tea bags,,5,5,5,5,5,5
Santander,https://www.glassdoor.com/Reviews/Santander-Reviews-E828048.htm,3/13/2019, Bank Teller,"Lynn, MA",Current Employee ,Best Working Place,Less than a year,0,Santander treats employees in best possible way. The working environment is really awesome and I am just loving to work over here.,I haven't found anything yet.,,5,5,5,5,5,5
Santander,https://www.glassdoor.com/Reviews/Santander-Reviews-E828048.htm,3/10/2019, Attorney,"Media, PA",Former Employee ,Attorney,More than a year,0,"Great Boss, Great staff, awesome place to work",For me it was too far from Home,Keep doing what you do!!!,5,5,5,5,3,5
Santander,https://www.glassdoor.com/Reviews/Santander-Reviews-E828048.htm,3/9/2019, Senior QA Engineer,"Brooklyn, NY",Former Employee ,Great benefits and environment,More than a year,0,"It was a pleasure working for santander Bank, the manager and other members in the team were very helpful and we were able to work in a great environment.",Sometimes had to work overtime to meet the company goals.,might want to hire more people to keep a balance in the work flow.,5,4,5,5,5,5
Santander,https://www.glassdoor.com/Reviews/Santander-Reviews-E828048.htm,3/21/2019, Project Manager,"Dallas, TX",Current Employee ,Needs an organizational change Again!,More than 5 years,0,The best part of working here is my peers. They are so helpful when it comes to things I have questions on.,The leadership does a poor job with not making decisions on issues or implementing a new process and giving it enough time to test if it’s working or not.,Stop hiring “yes” people and get more people who will think outside of the box. Also micromanaging kills creativity,2,2,2,3,4,2
Santander,https://www.glassdoor.com/Reviews/Santander-Reviews-E828048.htm,4/10/2019,,"Dallas, TX",Current Employee ,Stay Away,More than 3 years,0,Decent Benefits. Good employees to work with.,,,1,1,1,1,2,1
Santander,https://www.glassdoor.com/Reviews/Santander-Reviews-E828048.htm,3/3/2019, Senior Business Finance Analyst,"Boston, MA",Current Employee ,great company to work for,,0,employer helps you develop your career,company lacks from employee engagement,,5,4,5,4,3,5
Santander,https://www.glassdoor.com/Reviews/Santander-Reviews-E828048.htm,3/1/2019, Loan Processor,"North Richland Hills, TX",Current Employee ,Great Place To Work!!,More than a year,0,"Great work, life balance. Great co-workers. Awesome benefits.",None to write about yet,,5,5,4,4,5,4
