Company,Glassdoor_Review_Link,date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
Tiffany & Co,https://www.glassdoor.com/Reviews/Tiffany-and-Co-Reviews-E663.htm,3/18/2019, Jeweler,,Current Employee ,Wonderful,,0,"Health insurance, Paid holidays, dental, vision, and discounts.",None so far. Will update later.,,5,,,,,
Tiffany & Co,https://www.glassdoor.com/Reviews/Tiffany-and-Co-Reviews-E663.htm,4/5/2019, Sales Executive,"Beverly Hills, CA",Former Employee ,Great company,More than 8 years,0,"Solid company
Decent pay
Well-run company
Good benefits",Have to work during holiday season since it is the most important sales season of the year. Don’t expect any days off or trips from Thanksgiving Ro New Years,,5,4,4,4,4,4
Tiffany & Co,https://www.glassdoor.com/Reviews/Tiffany-and-Co-Reviews-E663.htm,4/2/2019, Stone Setter,"Lexington-Fayette, KY",Current Employee ,Great company,More than 5 years,0,"Hours, pay, benefits, retirement","Mandatory overtime, lack of accountability for some people.",Listen to employee ideas. We have some great ones.,5,3,5,5,4,3
Tiffany & Co,https://www.glassdoor.com/Reviews/Tiffany-and-Co-Reviews-E663.htm,4/17/2019, Operations,,Former Employee ,OPS,More than 3 years,0,Some good coworkers but not a whole lot else...,"Low pay. Most of the team is over-worked and definitely under appreciated. Promises are made by management but rarely, if ever, kept. Continuous assertion of growth from within, but entirely false. Could improve on hours...","Management needs to be revamped. They are stuck in the old school ways of doing things. Focus on innovation and promote those that deserve it, not the suck ups. Too many good people are forced out and you’re stuck with the bad apples.",2,1,4,1,1,3
Tiffany & Co,https://www.glassdoor.com/Reviews/Tiffany-and-Co-Reviews-E663.htm,4/3/2019, Operations Professional,"White Plains, NY",Current Employee ,I would recommend,Less than a year,0,"Decent part-time salary, I love my co-workers and managers","Retail Hours is my only complaint, sometimes the customers are difficult",,4,3,4,4,4,4
Tiffany & Co,https://www.glassdoor.com/Reviews/Tiffany-and-Co-Reviews-E663.htm,3/22/2019, Operations Coordinator,,Former Employee ,Legendary company / room for management improvement,More than 10 years,0,"Great pay, vacation benefits and product. Tiffany jewelry is out of this world, so it’s amazing to work for such a storied design house!","Opportunities to grow in your career are limited. Work/life balance is not prioritized. Management is very cliquey and childish, which makes it challenging for them to manage employees. Lots of drama and inappropriate behavior runs amok because managers are too busy gossiping and trying to be in with the “cool” crowd. Professional development is not a priority. Micromanaging is the norm and employee feedback is not valued in any way.",Grow up?,4,2,3,1,5,3
Tiffany & Co,https://www.glassdoor.com/Reviews/Tiffany-and-Co-Reviews-E663.htm,3/27/2019, Operations,"Columbus, OH",Former Employee ,Tiffany & Co.,More than 5 years,0,A company with a long history and strong work ethic,Little emphasis or concern for work life balance,,4,2,3,3,3,3
Tiffany & Co,https://www.glassdoor.com/Reviews/Tiffany-and-Co-Reviews-E663.htm,4/5/2019, Assistant Manager,"New York, NY",Current Employee ,It's fine...,More than a year,0,"Good work/life balance, managers always willing to listen","No camaraderie, little room for growth, organization too big and extremely hierarchical",,3,,,,,
Tiffany & Co,https://www.glassdoor.com/Reviews/Tiffany-and-Co-Reviews-E663.htm,3/21/2019, Branch Security Officer,,Current Employee ,Great work / life balance,More than a year,0,"Great benefits, Great culture, through training.","Average pay, Heavy workload, Redundant policies.",,4,4,4,4,3,3
Tiffany & Co,https://www.glassdoor.com/Reviews/Tiffany-and-Co-Reviews-E663.htm,3/21/2019,,,Current Employee ,Lovely,More than a year,0,"Nice people, gorgeous office, great legacy","constant change, but may be it could be a good thing? Very archaic systems not super tech or modern",,4,3,4,3,3,3
Tiffany & Co,https://www.glassdoor.com/Reviews/Tiffany-and-Co-Reviews-E663.htm,4/17/2019, Associate Manager,"New York, NY",Current Employee ,No growth opportunity (both salary and career),More than 3 years,0,The only good thing is the employee discount,"- company does not appreciate employees, no work life balance
- People left the company (either fired or found a better opportunity) and the company does not fill those vacancies. The ones left have to pick up all the work with no salary increase or compensation.
- No bonus
- No career advancement opportunity at all. Because you are given too much work to do. Of course, you are unable to excel since it's way more than the workload you can handle. At year end review, the company use this against you and give you a bad rating. Thus, you do not get any salary increase nor bonus.
- Overall, it's a terrible place to work at.
Please expect nothing when you work there.
- Culture is really bad as well.",,1,1,1,1,1,1
Tiffany & Co,https://www.glassdoor.com/Reviews/Tiffany-and-Co-Reviews-E663.htm,3/21/2019, Sales Professional,,Former Employee ,Sales Professional,More than a year,0,Great employee discount and work life balance. colleagues are competitive but nice. Good way to build relationships with clients.,"Very number oriented, everything is really focused on the number as a metric. Management are not helpful and pushes tasks from one to another.",Better management team will really better the experience for sales professional but being fair and neutral is vital to cultivate a positive collaborative working environment.,3,5,3,2,3,2
Tiffany & Co,https://www.glassdoor.com/Reviews/Tiffany-and-Co-Reviews-E663.htm,3/5/2019, Senior Branch Security Officer,,Current Employee ,Great Company,More than a year,0,"Great salary, benefits and employees.",Retail hours and on your feet all day.,,5,5,5,5,5,5
Tiffany & Co,https://www.glassdoor.com/Reviews/Tiffany-and-Co-Reviews-E663.htm,2/25/2019, Sales Professional,"Chicago, IL",Former Employee ,bittersweet wonderful experience,Less than a year,0,"very fun, high energy, employee discount, pay, etc","favoritism, aggressiveness, lots of idle time",a great team starts with great management on down. you can’t be successful with a team full of negative and competitive people who only want to sss others fail... choose better employees.,4,2,1,5,5,5
Tiffany & Co,https://www.glassdoor.com/Reviews/Tiffany-and-Co-Reviews-E663.htm,4/6/2019, Operations,,Former Employee ,Worse than you've heard.,More than a year,0,Great co-workers. Consistent hours.,"Pay is absurdly low.

You'll spend a lot of time either navigating or being otherwise effected by cartoonish social politics. Many managers and directors come from middle-class backgrounds and see their job as an opportunity to become part of some elite ruling class. It's completely divorced from reality, and actual rich people don't behave like this.

The Operations team is expected to say ""yes"" to every request thrown at them, without any regard for priority. When you're handling $15,000 in diamond jewelry, or have all the cash the store took in the prior day on your desk, you can't just get up and walk away from it to get a customer a glass of water just because one of the sales team is freaking out over it. As ridiculous as this sounds, management can, and has, reprimanded operations team members for not doing exactly this.

There are also a lot of cynical efforts made to use Operations people as salespeople, in part because our commission rate is lower (but the hourly *is* higher).

HR seems to protect managers who act inappropriately. Countless claims were made in good faith against a store director who acted inappropriately around women and made crucial decisions based (at least in part) on race. It wasn't even a secret that any of this was happening, but no remedial action was taken. Because of this, the store suffered a turnover rate close to 100%.

No career growth opportunities, with promotions seemingly based on favoritism or nepotism.

Operational expenses are poorly decided upon, like continuing to purchase 15 bottles of silver polish per month, despite only using 1 bottle per month, which leads to spoilage and, ultimately, waste. The company also decided to opt for more expensive hand soap for the bathrooms while simultaneously planning layoffs.

Ancient computer systems - younger employees think they're being Punk'd when they're presented with AS/400.

Oh, and Google the time they conspired to fire an African-American store manager over race.","I seriously have no advice that this company's ""leadership"" would follow. Nobody wants this product or experience anymore, and you don't treat your employees fairly. I'd say the writing's on the wall.",1,2,1,1,1,1
Tiffany & Co,https://www.glassdoor.com/Reviews/Tiffany-and-Co-Reviews-E663.htm,4/3/2019, Production Associate,"Providence, RI",Current Employee ,Bad!,More than 3 years,0,Nothing positive to say . Sad,"Everything looks good , but it is NOT!",Safety First,1,,,,,
Tiffany & Co,https://www.glassdoor.com/Reviews/Tiffany-and-Co-Reviews-E663.htm,3/26/2019, Sales/Ops,,Former Employee ,No growth...poor management,More than 5 years,0,Nice offices and stores cheap product quality,Management lack connection with employees. Have favorites and overlook others. Make fun of and pick on people's minor flaws while overlooking their efforts.,Change all the current managers and Directors. They are not doing a good job for the company.,1,1,1,,,
Tiffany & Co,https://www.glassdoor.com/Reviews/Tiffany-and-Co-Reviews-E663.htm,2/20/2019, Operations Professional,,Former Employee ,Decent,,0,"Benefits employee discount, base pay is decent","Competitive, I was seasonal so I did not experience too much cons",,5,,,,,
Tiffany & Co,https://www.glassdoor.com/Reviews/Tiffany-and-Co-Reviews-E663.htm,2/14/2019,,,Current Employee ,Review,,0,Great work environment. They invest in their employees as far as training and knowledge.,"None, they are a great company to work for.",,5,5,5,5,5,5
Tiffany & Co,https://www.glassdoor.com/Reviews/Tiffany-and-Co-Reviews-E663.htm,2/21/2019, Sales Associate,"New York, NY",Current Employee ,Great discount... awful store director,More than 5 years,0,Discount is great and so are the benefits,Store director is very predudice towards working moms,Get a new store director,3,3,3,3,3,2
Tiffany & Co,https://www.glassdoor.com/Reviews/Tiffany-and-Co-Reviews-E663.htm,2/13/2019, Sales Professional,,Former Employee ,Sales Professional at Fifth Ave Location,,0,"Great to build a resume
amazing customers","very disorganized
not friendly coworkers
no opportunities to stay with the company.",Focus on who you are hiring,3,3,1,1,5,1
Tiffany & Co,https://www.glassdoor.com/Reviews/Tiffany-and-Co-Reviews-E663.htm,1/28/2019, Picker/Packer,"Parsippany, NJ",Former Employee ,Great Job!!!!,More than 5 years,0,"Health benefits, 401k, Employee discounts, christmas party for employees...",I haven’t witness any cons while I was there.,,5,5,5,5,5,5
Tiffany & Co,https://www.glassdoor.com/Reviews/Tiffany-and-Co-Reviews-E663.htm,1/22/2019, Sales Professional,,Current Employee ,"I liken it to being in a cemetery or museum. Quiet, the occasional lookie loo, and not busy.",More than a year,0,"Product discount, luxury experience, and some of my coworkers.
Brand recognition, beautiful product, low stress/ pressure unless you count low commission checks.","If you have been here more than 6 years you should have a pretty full book of clients that are repeat purchasers. However, less than 3 years, and you will struggle to hit your sales goal 6 out of 12 months. It's truly luck of the draw on customers. It's an up system at a lot of stores and you can wait over an hour between clients - it's that slow. No one is coming in to buy.
Example: My up turn I may get the person dropping off a cleaning or someone who has never been in Tiffany and just wants to take pictures. The next sales person gets the serious client who drops $10,000-$50,000. It's a lot of luck.
No more goal adjustment on vacation or sick days.
No more individual bonus if you're doing well; it's now a team bonus based on the stores results.
Language skill employees not only earn more per hour, they also get half of your sell if they assist in translation. That's if they decide to help you or if they don't snake the sell for themselves.
1% commission payout.
 If you're lucky to get in to management - you make a nice salary to sit in your office checking facebook, booking yoga classes, and not actually having to develop your team.","Rethink how many stores you truly need for a luxury brand.
We need mens jewelry and cologne! Our current offering is sad.
Management should earn a base plus commission. If they have to rely on their stores performance for pay, they will be more engaged and drive sales instead of sitting in an office, posting meme's and collecting a steady check.
Make sure your management team has sales experience.
Instead of cutting pay, cut expenses. Change your transfer policy for jewelry; this will save a ton in overnight shipping and high value insurance coverage. The amount of plastic bags and tissue paper we go through is insane. Our ""customers"" use us for free fancy water without buying a thing. We don't recycle.",2,3,3,2,2,2
Tiffany & Co,https://www.glassdoor.com/Reviews/Tiffany-and-Co-Reviews-E663.htm,1/11/2019, Sales Professional,"Indianapolis, IN",Current Employee ,Sales Professional,More than 5 years,0,"Supportive management, flexible schedules, great discount",Mall location - have to work holidays,,5,5,5,5,5,5
Tiffany & Co,https://www.glassdoor.com/Reviews/Tiffany-and-Co-Reviews-E663.htm,12/26/2018, Operations Specialist,"Chicago, IL",Former Employee ,Love T&CO,More than a year,0,"Friendly co workers
Great training program
Huge discount on merchandise
Upward mobility",Retail hours but to be expected.,Keep up the great work!,5,4,5,5,5,5
