Company,Glassdoor_Review_Link,date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
TradeWeb,https://www.glassdoor.com/Reviews/Tradeweb-Reviews-E11427.htm,3/17/2019, Assistant Vice President,,Current Employee ,I have been working at tradeweb for almost a year,Less than a year,0,"Great working environment, a lot of things to learn, helpful team members and a healthy work environment. Motivational team members.",No cons as of currently.,,5,4,5,5,5,4
TradeWeb,https://www.glassdoor.com/Reviews/Tradeweb-Reviews-E11427.htm,3/21/2019,,"Jersey City, NJ",Current Employee ,Flexible work from home policy needed,More than a year,0,"Confidence in upper management leadership who are steering the company through an IPO.
Growing industry with plenty of opportunities to learn new skills",Flexible work from home policy needed to retain employees and secure the best talent.,Add a flexible work from home policy.,3,2,3,4,4,4
TradeWeb,https://www.glassdoor.com/Reviews/Tradeweb-Reviews-E11427.htm,2/20/2019,,"New York, NY",Current Employee ,"Great company, terrific breath of products, and capable management",More than 10 years,0,"Talented employees who want to do put their best foot forward, add value, and help clients. Great benefits including time off for volunteer work.","Office space - a highly profitable FinTech company can do much better. And that's a huge understatement.

Technology is dated, teams are siloed, and access to people/information is strictly controlled. Deviation from strict access control is not tolerated. This limits flow of information, and stifles innovation.","Listen to employee feedback/suggestions, encourage collaboration, empower employees to innovate, and reward on merit rather than personal relationships or tenure.

IPO in 2019 has long been rumored and management should make sure everyone has skin in the game by giving pre-IPO equity to ALL employees. It would be a colossal mistake to only give equity to SOME employees. Please avoid creating 2-tiers of employees at this exciting time - morale and productivity will take a nosedive.",5,4,5,4,4,4
TradeWeb,https://www.glassdoor.com/Reviews/Tradeweb-Reviews-E11427.htm,3/2/2019, Vice President,"New York, NY",Current Employee ,"Decent, could be better",More than 5 years,0,"Interesting work, industry leader, good benefits","office politics, bureaucracy, uncertainty due to IPO",,3,5,4,2,3,3
TradeWeb,https://www.glassdoor.com/Reviews/Tradeweb-Reviews-E11427.htm,2/5/2019,,,Current Employee ,"Great workplace environment, good benefits",More than a year,0,"great benefits, positive employees, good post-grad pay",seems to be a lack of internal mobility,,5,,,,,
TradeWeb,https://www.glassdoor.com/Reviews/Tradeweb-Reviews-E11427.htm,1/17/2019, Associate,"New York, NY",Current Employee ,Great work environment,More than a year,0,"Great work environment, growth, team atmosphere, people willing to teach you",Although the company is growing there seem to be more outside hires instead of promoting within. Could be stuck in one position for too long.,Reward more for work then interpersonal relationships. Promote from within more,5,4,4,3,4,4
TradeWeb,https://www.glassdoor.com/Reviews/Tradeweb-Reviews-E11427.htm,1/21/2019,,,Former Employee ,I do not recommend this company.,,0,Focus on business and application functionality.,"Good focus on application functionality, but the added functionality is developed on a very old technology platform. No interest in new technology or new technologists. Decision makers have been with company for 10 to 20 years and do not respect anyone other than themselves. Senior executives are like high school children. They talk about each other behind their backs.",Hire a Chief Information Officer. You don’t have one. That person will need experienced professionals to come in and help transform the platform to be competitive in the future.,1,3,2,1,2,1
TradeWeb,https://www.glassdoor.com/Reviews/Tradeweb-Reviews-E11427.htm,12/20/2018,,,Former Employee ,Odd company for tech,,0,Some nice colleagues to work with and lovely location.,"Whilst I was hired for a technology role and pitched a great fintech story, I found they really had no interest in new technology. There was supposed to be a CTO, but we never seen nor heard anything from him. I wouldn't recommend anyone interested in current technology work here.",There is little to no communication or visible leadership.,2,3,2,1,3,1
TradeWeb,https://www.glassdoor.com/Reviews/Tradeweb-Reviews-E11427.htm,11/27/2018,,,Current Employee ,Good Company,,0,Good working environment to work in,Nothing specific to report on,,4,,,,,
TradeWeb,https://www.glassdoor.com/Reviews/Tradeweb-Reviews-E11427.htm,8/1/2018, AVP,,Current Employee ,AVP,,0,Amazing perks at Tradeweb Markets LLC,There are no cons yet in the firm so far.,,5,5,5,5,5,5
TradeWeb,https://www.glassdoor.com/Reviews/Tradeweb-Reviews-E11427.htm,7/16/2018, Assistant Vice President,"New York, NY",Current Employee ,Quick Growing Company,More than a year,0,,,Continue to have a personalized approach to people management as the headcount grows.,5,4,5,4,5,5
TradeWeb,https://www.glassdoor.com/Reviews/Tradeweb-Reviews-E11427.htm,6/27/2018, Vice President Operations,"New York, NY",Current Employee ,Poor leadership and management,More than 3 years,0,"great benefits, free food, plenty to learn","No growth, poor management, no directions whatsoever",,2,4,2,3,4,1
TradeWeb,https://www.glassdoor.com/Reviews/Tradeweb-Reviews-E11427.htm,6/3/2018, Senior Technologist,"New York, NY",Current Employee ,A really amazing place to work,More than 3 years,0,Very talented senior managers help guide more junior staff to help them reach their full potential. Great benefits and a wonderful work atmosphere.,"Need to be more proactive in removing under-performers. Communications between NJ, NY and Euro/Asia offices needs to improve.","Cut the fat. Focus on new technology (blockchain, CRM, augmented SDLC, AI, web based applications, mobile apps). Let those who want to shine do so. Give them space and a budget and then get out of the way.",5,5,5,5,5,5
TradeWeb,https://www.glassdoor.com/Reviews/Tradeweb-Reviews-E11427.htm,5/15/2018,,,Current Employee ,Operations Associate,,0,"Great salary, great benefits. The main corporate offices are also both very nice.","Work life balance, poor communication between teams. Lack of communication between teams/departments reall affected my work.",Need to have better coordination between brands and teams. Lots of selfish employees that don’t care to communicate with others.,3,2,2,4,4,2
TradeWeb,https://www.glassdoor.com/Reviews/Tradeweb-Reviews-E11427.htm,4/16/2018, Vice President,,Current Employee ,I enjoy coming into work each day,,0,"• Forward thinking for business & people strategy
• Positive, fun, collaborative environment
• Investment in learning & development of talent
• Attracts diverse out of the box thinkers
• Strive to push the needle and stay competitive
• Ability to make a positive impact and do fulfilling work",• Keep on bridging the gap between office locations as we grow & provide opportunities to spend time together,"• Keep on being accessible & proactively communicating to employees
• Great work on setting the tone in terms of culture from the top",5,5,5,5,5,5
TradeWeb,https://www.glassdoor.com/Reviews/Tradeweb-Reviews-E11427.htm,4/16/2018, Managing Director,"New York, NY",Current Employee ,TW has taken my career to the next level,More than a year,0,,"Not necessarily a CON, but the company is growing fast and would benefit from a central large space for all different groups to work together when needed in person.",,5,5,5,5,5,5
TradeWeb,https://www.glassdoor.com/Reviews/Tradeweb-Reviews-E11427.htm,4/8/2018,,"New York, NY",Former Employee ,A truly exceptional place to work,More than 3 years,0,,,"Keep your current grade A talent, and pedal to the metal for the future. Tradeweb's best days are ahead! It was my privilege to be a part of Tradeweb, amazing leadership team - get even more involved with the company when possible, people look up to you.",5,5,5,5,5,5
TradeWeb,https://www.glassdoor.com/Reviews/Tradeweb-Reviews-E11427.htm,3/8/2018, AVP,"Jersey City, NJ",Current Employee ,Tradeweb has a great work atmosphere.,Less than a year,0,"Surrounded with good people to work with. Support that I receive is endless, and they all come with smiles. :) Organize and clear as crystal from both perspectives technical and business.",I CAN NOT THINK OF ANYTHING SO FAR.,,5,5,5,5,5,5
TradeWeb,https://www.glassdoor.com/Reviews/Tradeweb-Reviews-E11427.htm,3/20/2018,,,Former Employee ,Inflated title for kind of work,,0,"The industry is on an upswing, so the company should do well.",Management needs to get their game together. Not a research-focused company.,,2,3,1,2,4,2
TradeWeb,https://www.glassdoor.com/Reviews/Tradeweb-Reviews-E11427.htm,2/15/2018,,,Former Employee ,Client Service,,0,The system is great- its simple and works.,Not many career paths within the company- regional offices are very small.,,4,4,3,3,4,3
TradeWeb,https://www.glassdoor.com/Reviews/Tradeweb-Reviews-E11427.htm,1/31/2018, Vice President In Tech,,Current Employee ,Great place to work,,0,"Senior management is very engaged and interested in feedback.
Some great greenfield development opportunities with start-up like delivery mentality (of course contingent on what team you are in).
The size of the company is just right so you can see what impact you are making.
Great HR team, very engaged and committed to finding growth\learning opportunities for the employees.",More perks and onsite facilities might be nice.,,5,4,4,5,4,5
TradeWeb,https://www.glassdoor.com/Reviews/Tradeweb-Reviews-E11427.htm,2/5/2018,,"New York, NY",Current Employee ,Company Overview,More than 5 years,0,Great work/life balance; good perks,"Weak management; low salaries; senior positions almost entirely filled externally, rather than promoting internal talent",,3,4,2,3,2,2
TradeWeb,https://www.glassdoor.com/Reviews/Tradeweb-Reviews-E11427.htm,12/13/2017,,"Jersey City, NJ",Former Employee ,software engineer,Less than a year,0,"smart technical management, generous compensation",lots of legacy outdated technology.,,4,4,3,3,4,3
TradeWeb,https://www.glassdoor.com/Reviews/Tradeweb-Reviews-E11427.htm,12/8/2017,,"New York, NY",Former Employee ,Summer Analyst,,0,Emphasizes open door policy and not being afraid to ask questions,Not always a lot of work for interns to do,,5,5,5,5,5,5
TradeWeb,https://www.glassdoor.com/Reviews/Tradeweb-Reviews-E11427.htm,10/27/2017,,,Former Employee ,VP of technology,More than 8 years,0,"I love being able to work around truly passionate people who are ready to change the world. The culture is great, free snacks and food is big plus. I had the opportunity to take ownership of projects within my first month.","The hours are much longer than any other job I've worked in, but this is expected to change as we continue hiring more help and spent more on technology.",Improve people relation and will get great work! i was not excited to see the company spend more and did not grow and mature and hope that we don't lose the strong culture we have now,4,3,3,3,3,3
TradeWeb,https://www.glassdoor.com/Reviews/Tradeweb-Reviews-E11427.htm,11/20/2017, Vice President Development,"Jersey City, NJ",Former Employee ,HR and Business team cannot improve Technology department,More than 5 years,0,Good work benefits (including year end bonus) if you are in company if you are in management or business team. I feel sorry for technology guys working below Director level.,"Too much pressure and extremely long hours. Majority of tech dept is full of unmarried H1Bs (low wage workers who can work 60+hours/week) and no new diverse talent is welcomed here. Old fashioned interview style and experienced developers (with GC/Citizen) will most likely be not selected. CEO, CTO, MDs and Directors are not going to held each other accountable, but blame on lower level.","Lately, MDs are putting comments on Glassdoor asking current employees to send reviews to HR for improvement, however no MDs or Directors are hold accountable. In other words, we throw your feedback to bin. Advise to technology guys is to do homework before appearing for interview or accepting offer. Cannot give advice to management, as the real problem starts at CEO, shareholder and MD level.",1,1,1,1,3,1
TradeWeb,https://www.glassdoor.com/Reviews/Tradeweb-Reviews-E11427.htm,10/8/2017, IT Support,"New York, NY",Former Employee ,Exciting company with lost potential,Less than a year,0,"Has a significant chunk of the market, you will get good exposure to fixed income. Company is well positioned to succeed. Kitchens are usually well stocked and offices are clean. Most people are serious about the work they do and very capable. The atmosphere is generally positive and energetic.","Way too much focus on execution and sales rather than innovation. Tradeweb is a technology company. Couldn't emphasize this more - it's an electronic brokerage. Technology should be the sole focus of day to day, month to month, and year to year operations. Instead this is a sales company that can't seem to plan effectively more than a few months in advance. It's difficult to be rewarded for being creative and efficient vs. putting in extra time and knowing the right people. There's a culture clash between NY and NJ, sales people vs. technologists",CTO/CEO must get involved with the day to day development of software. Go visit start-ups and import some of their behaviors and strategies. Slow down release cycles until you can prove to customers that you can release quality software with minimal critical bugs.,3,2,3,4,2,1
TradeWeb,https://www.glassdoor.com/Reviews/Tradeweb-Reviews-E11427.htm,9/19/2017,,,Former Employee ,Associate,,0,"Good platform with great functionality. Healthy work culture, and an important perspective on the FX/Deriv trading industry. Will continue to experience growth and further penetration in standard asset class trading","Big learning curve for entry-level associates, need to be able to grasp material and problem-solve for clients.",,5,5,4,4,4,5
TradeWeb,https://www.glassdoor.com/Reviews/Tradeweb-Reviews-E11427.htm,6/6/2017, Assistant Vice President,,Former Employee ,Application Support - Sweatshop,More than a year,0,,"- Application Support/ Production support working hours are very bad
- Some degree of favoritism towards old timers
- Hire and fire type of culture. Because of this, many people have artificially created 'job security' for themselves by not documenting their knowledge/ product information.
-Limited opportunites to work in different teams due to small size of the company
- Difficult to work with some developers due to their rude behavior","Technology division seems to be turning into a sweatshop.
Thousands of man-hours are wasted into products which do not sell. Please focus on products that make money.",2,1,1,2,3,1
