Company,Glassdoor_Review_Link,date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
UBS,https://www.glassdoor.com/Reviews/UBS-Reviews-E3419.htm,2/14/2019, Intern ,,Current Employee ,Great company structure,Less than a year,0,"I hadn’t worked in financial services before, but UBS gives you the opportunity to contribute to meaningful work as an intern. It’s a great company to work for and fantastic for your resume and connections.","They tend to not automatically hire interns for positions like some other large banks, so be prepared to have to fight for a position if you want to stay with them after graduation.",,5,5,5,3,3,5
UBS,https://www.glassdoor.com/Reviews/UBS-Reviews-E3419.htm,4/18/2019, Investment Banking Analyst,"New York, NY",Current Employee ,Good,Less than a year,0,Typical ib and you know the same,Long hours are the key reason to this,Do more to protect junior employees,5,1,3,5,5,2
UBS,https://www.glassdoor.com/Reviews/UBS-Reviews-E3419.htm,4/17/2019, Systems Engineer,"Nashville, TN",Current Employee ,Awesome place!,More than a year,0,"Very clean and safe environment, lunch areas, convenient location downtown, subsidized parking. Excellent manager in my division, co workers all extremely good at their jobs, no weak links, they have an excellent team.",opportunities to advance are fairly limited....,Keep it up!,4,5,5,3,5,5
UBS,https://www.glassdoor.com/Reviews/UBS-Reviews-E3419.htm,4/16/2019, Analyst,"New York, NY",Former Employee ,Great culture,More than a year,0,Lots of good people working at the company. Great opportunity for mentorship.,Large company so need to stay focused to create your own path.,,5,,,,,
UBS,https://www.glassdoor.com/Reviews/UBS-Reviews-E3419.htm,4/9/2019, Compliance Specialist,,Current Employee ,Love UBS,Less than a year,0,Such a team collaborative environment,Commute isn’t consistent but not bad.,,5,5,5,5,5,5
UBS,https://www.glassdoor.com/Reviews/UBS-Reviews-E3419.htm,4/8/2019, Executive Director,,Former Employee ,aa,More than 8 years,0,"Great people, teamwork, willing to change","WM focus, overly focused on biz cycle (boom//bust)",,4,,,,,
UBS,https://www.glassdoor.com/Reviews/UBS-Reviews-E3419.htm,4/7/2019, Financial Advisor,,Current Employee ,Wealth Advice Center,More than a year,0,"Decent pay, great people, flexible work hours, and good way to get into the industry","Everything is over the phone, overly strict compliance rules, too many managers",,4,4,5,5,3,4
UBS,https://www.glassdoor.com/Reviews/UBS-Reviews-E3419.htm,4/1/2019, Frontend Developer,"Zurich, KS",Current Employee ,Nice place but a lot of overhead,Less than a year,0,Nice and skilled people in my team,"A lot of overhead due to the fact that it is a Swiss bank (strict restriction on web navigation, a lot of time to setup the machine, etc)",,4,5,4,3,4,4
UBS,https://www.glassdoor.com/Reviews/UBS-Reviews-E3419.htm,4/10/2019,,,Former Employee ,ubs wealth advice center,,0,great for entry level looking to become licensed to sell securities,lower management (who you would be working directly under) don't seem to understand a work life balance. Be prepared for many late nights without additional compensation,,3,2,2,3,3,3
UBS,https://www.glassdoor.com/Reviews/UBS-Reviews-E3419.htm,3/28/2019,,,Former Employee ,Former employee,,0,Some very talented people work the firm.,Way to much time and effort devoted to 360 reviews—penalizes people working in small groups or those with very specialized skills sets.,Stop trying to be Goldman Sachs—your not.,4,,,,,
