Company,Glassdoor_Review_Link,date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
Wells Fargo,https://www.glassdoor.com/Reviews/Wells-Fargo-Reviews-E8876.htm,1/11/2019,,,Former Employee ,Teller,,0,"Great opportunity, great benefits, full time experience","No cons, amazing company",,5,5,5,5,5,4
Wells Fargo,https://www.glassdoor.com/Reviews/Wells-Fargo-Reviews-E8876.htm,4/18/2019, Customer Service Representative,"Westlake, TX",Former Employee ,Great Company,More than a year,0,The work environment is amazing!,No cons working for Wells Fargo Call Center!,Keep doing what you’re doing!,5,5,5,5,5,5
Wells Fargo,https://www.glassdoor.com/Reviews/Wells-Fargo-Reviews-E8876.htm,4/16/2019, Auditor,,Current Employee ,Great place to work,,0,"Coworkers, pay, benefits including paid time off","Senior management, no travel, movement",,5,,,,,
Wells Fargo,https://www.glassdoor.com/Reviews/Wells-Fargo-Reviews-E8876.htm,4/16/2019, Network Engineer,,Former Employee ,"Great place to work, lots of opportunities to grow, great team work...",More than 3 years,0,"Great place to work, lots of opportunities to grow, great team work, management understands the value you bring to the team, higher management recognizes the effort and good work ethics.",Fun place to work but hard get noticed by higher management.,,5,4,5,4,5,4
Wells Fargo,https://www.glassdoor.com/Reviews/Wells-Fargo-Reviews-E8876.htm,4/16/2019, Manager,,Former Employee ,Great Company,More than 8 years,0,Great Salary..room for growth and opportunity,Competitive atmosphere and lack of communication between corporate and main office,,5,4,,,,
Wells Fargo,https://www.glassdoor.com/Reviews/Wells-Fargo-Reviews-E8876.htm,4/17/2019, Personal Banker,,Current Employee ,Personal Banker,,0,"Great company , good benefits, pay",No complaints great company to work for,,5,,,,,
Wells Fargo,https://www.glassdoor.com/Reviews/Wells-Fargo-Reviews-E8876.htm,4/17/2019, Financial Analyst,"Charlotte, NC",Current Employee ,Great Company,More than 5 years,0,Great work life balance and pay.,No cons. The company does a great job promoting from within,,5,5,5,5,5,5
Wells Fargo,https://www.glassdoor.com/Reviews/Wells-Fargo-Reviews-E8876.htm,4/16/2019, Analyst,,Former Employee ,I really enjoyed working here.,More than 5 years,0,I learned a lot while working here. We had a great team and worked well together. Work life balance was well maintained.,I don't have anything bad to say. Not much room for movement but that was because of the small department I was in.,,4,5,5,3,5,
Wells Fargo,https://www.glassdoor.com/Reviews/Wells-Fargo-Reviews-E8876.htm,4/16/2019, Licensed Banker,"Westminster, CO",Current Employee ,Bank Employment,More than 5 years,0,Great team to work with.,Underpay for qualification and licenses,Pay good people to stay.,4,4,4,3,2,3
Wells Fargo,https://www.glassdoor.com/Reviews/Wells-Fargo-Reviews-E8876.htm,4/17/2019, Sales,"San Francisco, CA",Former Employee ,Healthy environment,More than a year,0,"Great people
Flexible hours
Vertical employement opportunities","Not motivating work
Not amazing pay at first",Motivate through opportunities,4,5,4,5,4,4
Wells Fargo,https://www.glassdoor.com/Reviews/Wells-Fargo-Reviews-E8876.htm,4/17/2019, Phone Banker,"Sioux Falls, SD",Former Employee ,Wells Fargo phone banker 1,Less than a year,0,"Pay, all the different shift options, benefits","Repetitive, training was long but you still felt like you knew nothing, management expected you to know everything",,4,3,4,3,4,3
Wells Fargo,https://www.glassdoor.com/Reviews/Wells-Fargo-Reviews-E8876.htm,4/16/2019, Senior Program Manager,"Charlotte, NC",Current Employee ,Great work life balance!,More than 5 years,0,"fair salary, great benefits, telecommuting available for some roles. strong management, fair, balanced. great development opportunities","very large company so can be a lot of churn with teams, leadership re-orgs etc. but no more than other companies this size",Enforce compliance to standardization would save a fortune in duplicative work demanded by executives that can't deal with change or have ego issues.,5,5,5,5,5,3
