Company,Glassdoor_Review_Link,date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
ZS Associates,https://www.glassdoor.com/Reviews/ZS-Associates-Reviews-E115506.htm,10/24/2018,,,Current Employee ,Associate Consultant,,0,"Collaborative work environment, great people, casual office","long hours, high demand, stress",,5,,,,,
ZS Associates,https://www.glassdoor.com/Reviews/ZS-Associates-Reviews-E115506.htm,4/16/2019, Business Consultant,"Princeton, NJ",Current Employee ,Good company to work for majority of the time,More than 5 years,0,"Great people, good challenging work is available","Can get too demanding
Limited in scope to life sciences industry",,4,3,3,4,4,4
ZS Associates,https://www.glassdoor.com/Reviews/ZS-Associates-Reviews-E115506.htm,4/8/2019, Associate Consultant,"San Francisco, CA",Former Employee ,Great place to work!,More than a year,0,"Super interesting projects, great mentorship and leadership, learned a lot in a short amount of time.",Your manager and team can really dictate your experience here. You will need to seek out the best team and manager.,,5,4,5,5,5,5
ZS Associates,https://www.glassdoor.com/Reviews/ZS-Associates-Reviews-E115506.htm,3/29/2019, Manager,"Evanston, IL",Current Employee ,"Great reputation, great people, great culture",More than 8 years,0,,,Reconsider fractional staffing model,4,3,5,4,4,4
ZS Associates,https://www.glassdoor.com/Reviews/ZS-Associates-Reviews-E115506.htm,3/26/2019,,,Current Employee ,----,More than a year,0,Got great experience in data analytics,Long hours and worked a lot of weekends,,4,,,,,
ZS Associates,https://www.glassdoor.com/Reviews/ZS-Associates-Reviews-E115506.htm,3/20/2019,,,Current Employee ,"Good, not great, place to work",Less than a year,0,Management cares about our well-being,The perks are slim relative to other Silicon Valley jobs,,4,,,,,
ZS Associates,https://www.glassdoor.com/Reviews/ZS-Associates-Reviews-E115506.htm,3/5/2019, Associate Consultant,,Current Employee ,"Smart people, but consulting long term is meh",More than 3 years,0,"Smart, interesting, high impact problems","Work is repetitive, clients are not always intelligent or interesting to work with",,4,,,,,
ZS Associates,https://www.glassdoor.com/Reviews/ZS-Associates-Reviews-E115506.htm,3/1/2019, Decision Science Analyst,"New York, NY",Current Employee ,Good First Stop,More than a year,0,Learn from very smart people on a broad set of projects.,High amount of travel. Sometimes long hours,,4,,,,,
ZS Associates,https://www.glassdoor.com/Reviews/ZS-Associates-Reviews-E115506.htm,2/25/2019,,"New York, NY",Current Employee ,Great place to learn and engage in challenging projects,More than 3 years,0,"Challenging work , great coworkers and overall company culture","As always in consulting, work life balance is hard to get",,4,,,,,
ZS Associates,https://www.glassdoor.com/Reviews/ZS-Associates-Reviews-E115506.htm,3/6/2019, Associate Consultant,"New York, NY",Former Employee ,Nothing good other than the pay,Less than a year,0,Competitive pay and decent benefits,"Innovation and cross collaboration shut down, almost all business in one industry, incompetent people in managerial positions, counting pennies and overcharging clients",,2,3,2,3,5,2
ZS Associates,https://www.glassdoor.com/Reviews/ZS-Associates-Reviews-E115506.htm,2/13/2019,,,Former Employee ,Great culture and life style,More than 3 years,0,"People are nice, friendly culture",Not enough motivation from compensation,,4,4,4,4,3,3
ZS Associates,https://www.glassdoor.com/Reviews/ZS-Associates-Reviews-E115506.htm,3/17/2019, Business Analyst,"San Francisco, CA",Former Employee ,High Stress and Toxic Work Culture,More than a year,0,"A lot of client facing experience and accelerates your career, particularly if you're looking to do an MBA down the line","- Poor oversight by management on new college grads, effectively leaving them in the charge of other associates who have no management experience or training. (In my case, reviews for junior associates are essentially written by the senior associate, using the Manager's name) Because of this, associate experience can vary dramatically, from OK to toxic/terrible. I was unfortunate to fall on the latter end of the spectrum.
- Long working hours, high stress, unhealthy work-life balance (not uncommon to work 70-90 hours a week), very thankless leadership for all the hours put in
-Management thinks about client demands first and employee welfare second (and are very obvious about it)
-The tools used for analytics are extremely outdated, poor analytics and statistical practices. This isn't the place to level up your technical skills (but it is the place to level up client-facing skills)
- Poor compensation for the hours put in
- I ultimately left ZS due to the terrible work culture and am mentally healthier and happier in my new job.","You have high turnover for a reason, treat your people right",1,1,1,4,1,1
ZS Associates,https://www.glassdoor.com/Reviews/ZS-Associates-Reviews-E115506.htm,2/7/2019,,,Current Employee ,Technology Analyst,More than a year,0,"* Great working culture
* Casual dress code","*Long hours of work
*Less transparency",,4,2,4,4,3,3
ZS Associates,https://www.glassdoor.com/Reviews/ZS-Associates-Reviews-E115506.htm,2/14/2019,,,Former Employee ,Good company to work,More than a year,0,"Innovative , good mix of clients",Low work life balance,,3,2,4,3,3,4
ZS Associates,https://www.glassdoor.com/Reviews/ZS-Associates-Reviews-E115506.htm,2/13/2019,,,Current Employee ,"Good company, if your boss likes you",More than 3 years,0,Good people and culture; focus on pharma,Lack of recognition for work,,2,,,,,
ZS Associates,https://www.glassdoor.com/Reviews/ZS-Associates-Reviews-E115506.htm,2/9/2019, Decision Analytics Associate Consultant,,Former Employee ,Great learning experience,More than 3 years,0,The work was quite interesting,Hours could be long at times,,3,,,,,
