name,book_id
Suzanne Collins,2767052
J.K. Rowling,3
Mary GrandPré,3
Stephenie Meyer,41865
Harper Lee,2657
F. Scott Fitzgerald,4671
John Green,11870085
J.R.R. Tolkien,5907
J.D. Salinger,5107
Dan Brown,960
Jane Austen,1885
Khaled Hosseini,77203
Veronica Roth,13335037
George Orwell,5470
Erich Fromm,5470
Celâl Üster,5470
George Orwell,7613
Anne Frank,48855
Eleanor Roosevelt,48855
B.M. Mooyaart-Doubleday,48855
Stieg Larsson,2429135
Reg Keeland,2429135
Suzanne Collins,6148028
J.K. Rowling,5
Mary GrandPré,5
Rufus Beck,5
J.R.R. Tolkien,34
Suzanne Collins,7260188
J.K. Rowling,2
Mary GrandPré,2
Alice Sebold,12232938
J.K. Rowling,15881
Mary GrandPré,15881
J.K. Rowling,6
Mary GrandPré,6
J.K. Rowling,136251
Mary GrandPré,136251
Dan Brown,968
J.K. Rowling,1
Mary GrandPré,1
William Golding,7624
William Shakespeare,18135
Robert           Jackson,18135
Gillian Flynn,8442457
Kathryn Stockett,4667024
John Steinbeck,890
Arthur Golden,930
E.L. James,10818853
Paulo Coelho,865
Alan R. Clarke,865
Lois Lowry,3636
C.S. Lewis,100915
Audrey Niffenegger,14050
George R.R. Martin,13496
Elizabeth Gilbert,19501
Rick Riordan,28187
Louisa May Alcott,1934
Charlotte Brontë,10210
Michael Mason,10210
Nicholas Sparks,15931
Yann Martel,4214
Sara Gruen,43641
Markus Zusak,19063
Ray Bradbury,4381
Stephenie Meyer,49041
Shel Silverstein,30119
Cassandra Clare,256683
Stephenie Meyer,428263
Christopher Paolini,113436
Douglas Adams,11
Aldous Huxley,5129
Stephenie Meyer,1162543
Sue Monk Kidd,37435
Mark Twain,2956
John Seelye,2956
Guy Cardwell,2956
E.B. White,24178
Garth Williams,24178
Rosemary Wells,24178
Mark Haddon,1618
Paula Hawkins,22557272
Philip Pullman,119322
Emily Brontë,6185
Richard J. Dunn,6185
Jodi Picoult,10917
Kurt Vonnegut Jr.,4981
Margaret Mitchell,18405
Khaled Hosseini,128029
Stephen Chbosky,22628
Veronica Roth,11735983
Orson Scott Card,375802
Mary Wollstonecraft Shelley,18490
Percy Bysshe Shelley,18490
