Job_id,Title,Location,Company,Synopsis,Low_Salary,High_Salary,City,State_Initials
1,Data Scientist I,"Midlothian, VA 23112",        Virginia Credit Union,"            Individual must be comfortable extracting, cleaning, preparing, and modeling data from multiple data environments....",81000,119000,Midlothian, VA
2,Data Scientist - FinTech Company,"Richmond, VA",        Lennon Wright Associates,            The team is fantastic you will be working alongside other scientists who have a strong passion for Data Science....,70000,120000,Richmond, VA
3,Data Analyst - FinTech Company,"Richmond, VA",        Lennon Wright Associates,            The team is fantastic you will be working alongside other scientists who have a strong passion for Data Analysis....,70000,120000,Richmond, VA
4,Data Scientist,"Richmond, VA",        VA Commonwealth Univ,"            Knowledgeable in data science life cycle practices. Additionally, will collaborate on inter-departmental initiatives that would benefit from advance data...",75000,90000,Richmond, VA
5,            Senior Data Scientist,"Chesterfield, VA",        Virginia VA Community College Sys,"            1+ years’ experience using other advanced data science methods, including web scraping, PDF scraping, data visualization, or natural language processing....",65000,73000,Chesterfield, VA
6,            Senior Data Scientist,"Chesterfield, VA",        VA Community College Sys,"            1+ years' experience using other advanced data science methods, including web scraping, PDF scraping, data visualization, or natural language processing ??...",65000,73000,Chesterfield, VA
7,Data Scientist,"Richmond, VA 23284 (The Fan area)",        Virginia Commonwealth University,"            Working Title Data Scientist. Knowledgeable in data science life cycle practices. Additionally, will collaborate on inter-departmental initiatives that would...",53000,78000,Richmond, VA
8,            Senior Data Scientist - Virginia Community College System,"Richmond, VA",        Virginia Community College System,"            Creating and managing an integrated data system that merges in detailed individual-level data from multiple sources, such as student transcripts and quarterly...",65000,73000,Richmond, VA
9,Data Scientist,"Richmond, VA 23219 (City Center area)",        Afton Chemical,"            This data scientist position will utilize analytical, statistical, and programming skills to collect, analyze, and interpret large datasets....",86000,126000,Richmond, VA
10,DATA SCIENTIST,"Chester, VA",        Knowledge Facilitation Group,"            We are looking for a Data Scientist that will help us discover the information hidden in vast amounts of data, and help us make smarter decisions to deliver...",85000,126000,Chester, VA
11,Data Scientist,"Richmond, VA","        Amyx, Inc.","            Five (5) years’ relevant and practical experience with SAS, R, Python, Keras, TensorFlow, data processing, data analytics, data science, data mining, predictive...",93000,138000,Richmond, VA
12,"Data Scientist with Hortonworks / CloudEra - Richmond, VA","Richmond, VA 23230",        CSS Corporation,            Design of Data Structures & Data Movement processes. Analysis & development of Analytic solutions using Data science and...,105000,154000,Richmond, VA
13,             Policy Research Analyst,"Richmond, VA",        New Virginia Majority,            The Policy Research Analyst will synthesize existing research and conduct original research to identify public policy...,42000,55000,Richmond, VA
14,            Senior Data Scientist - Virginia Community College System,"Richmond, VA",        Virginia Community College System,"            Creating and managing an integrated data system that merges in detailed individual-level data from multiple sources,...",65000,73000,Richmond, VA
15,Data Scientist,"Richmond, VA",        Horizon Industries Ltd,"            Duties of a Data Scientist may include:. Five (5) years’ relevant and practical experience with SAS, data processing,...",99000,146000,Richmond, VA
16,            Newborn Screening Senior Scientist (Scientist II),"Richmond, VA 23220 (The Fan area)",        Virginia Department of General Services,"            As a NBS Senior Scientist, this position oversees the performance of filter paper blood spot analysis for a variety of...",48681,60617,Richmond, VA
17,Data Scientist,"Indianapolis, IN 46204",        The Prosper Group,"            Proactively identifies new data opportunities in 1st, 2nd, and 3rd party data, as well as strategic/tactical opportunities; The Prosper Group seeks a Data Scientist with 3+ years of experience, who...",67000,99000,Indianapolis, IN
18,Data Scientist Intern,"Indianapolis, IN 46214",        Covance,"            CRO data at Covance is inherently abundant and heterogeneous, and therefore reflecting both the attributes of individua data sources and relations between them is important to unlease the data power...",101000,149000,Indianapolis, IN
19,Data Scientist,"Carmel, IN 46032",        Zotec Partners,"            Develop custom data models and algorithms to apply data sets. Contribute to design of analytics, including data sampling, mining and quality and data visualization solutions....",82000,122000,Carmel, IN
20,Data Scientist - Demand Analytics,"Indianapolis, IN",        Cummins Inc.,"Data Mining - Identifies relationships and patterns in data by using a suite of data exploration and data visualization techniques using tools such as PowerBI, R Shiny, SAS JMP, and extracts insights...",77000,114000,Indianapolis, IN
21,Data Scientist,"Indianapolis, IN",        Crowe,"            Collaborate with analytic and data teams to set objectives, approaches, and work plans. Leverage large sets of structured and unstructured data to develop tactical and strategic insights....",96000,142000,Indianapolis, IN
22,Data Scientist,"Indianapolis, IN",        Elements Financial,"            Analyze data for trends and patterns, and Interpret data with a clear objective in mind. 7+ years' experience in data science. Work as the lead data strategist, identifying and integrating new...",93000,137000,Indianapolis, IN
23,DATA SCIENTIST II,"Indianapolis, IN",        OneAmerica,Data Scientist II. Conduct exploratory data analysis and prepare data to be analyzed. As a Data Scientist you will support analytical projects and solutions that answer business questions....,88000,130000,Indianapolis, IN
24,Data Scientist,"Indianapolis, IN 46240",        Crowe,"            Collaborate with analytic and data teams to set objectives, approaches, and work plans. Leverage large sets of structured and unstructured data to develop...",96000,142000,Indianapolis, IN
25,Data Scientist,"Indianapolis, IN 46240",        KSM Consulting,"            To help continue our rapid growth and solve our clients’ toughest problems, we need a Data Scientist to join the team....",91000,135000,Indianapolis, IN
26,Data Scientist - Demand Analytics,"Indianapolis, IN",        Cummins Inc.,"Data Mining - Identifies relationships and patterns in data by using a suite of data exploration and data visualization techniques using tools such as PowerBI,...",77000,114000,Indianapolis, IN
27,Data Scientist,"San Francisco, CA 94158 (South Of Market area)",        Retrace Labs,            *Company Description: * Retrace is spearheading the predictive medicine paradigm shift and is a pioneer in the computer vision space. Situated in the heart of...,150000,300000,San Francisco, CA
28,            Biological Science Laboratory Technician (Plants),"Saint Paul, MN",        US Department of Agriculture,"            Keeping exact, detailed records of experimental data. Tabulating, statistically analyzing, and summarizing data using personal computers and software packages....",49926,71683,Saint Paul, MN
29,"            Sr Research Scientist, Early Childhood","Minneapolis, MN 55401 (North Loop area)",        Child Trends,"            Supervises the data collection, tabulation, and analysis by research scientists, analysts and assistants....",103500,,Minneapolis, MN
30,            Research Analyst,"Houston, TX",        Rice University,            And follow standard data management practices for the Houston Community Data Connections (HCDC) program. Prepare data sets and documentation;...,68557,,Houston, TX
31,            Matanuska Electric Association is seeking a Senior GIS Data...,"Anchorage, AK 99503 (Midtown area)",        ALASKA POWER ASSOCIATION,"            Design and maintain data files and structures as needed. Write technical reports and documents such as project descriptions, program synopses, definitions and...",78087,,Anchorage, AK
32,            Biologist,"Anchorage, AK",        Centers for Disease Control and Prevention,"            ""Collaborate with scientists and program consultants in various aspects of study or survey design process, and other study support duties including analyzing...",87252,129906,Anchorage, AK
33,            Biological Scientist,"Elmendorf AFB, AK",        US Department of the Air Force,"            Skill to integrate an interdisciplinary team of professionals to include attorneys, public health specialists, public affairs specialists, biological scientists...",68036,164200,Elmendorf AFB, AK
34,            General Natural Resources Management and Biological Sciences...,"Elmendorf AFB, AK",        US Department of the Air Force,"            The primary purpose of this position is to serve as a Biological Scientist participating in project management, execution, and operations responsibility in...",50598,134038,Elmendorf AFB, AK
35,            Psychologist,"Anchorage, AK",        US Department of Veterans Affairs,"            Ability to perform basic research tasks of scholarship and research execution within the context of an established research team, including research participant...",67930,125865,Anchorage, AK
36,            Biologist,"Anchorage, AK",        Centers for Disease Control and Prevention,"            ""Collaborate with scientists and program consultants in various aspects of study or survey design process, and other study support duties...",87252,129906,Anchorage, AK
37,            Physical Scientist,"Elmendorf AFB, AK",        US Department of the Air Force,"            And generating reports based on analytical data produced. At this level, physical scientists have the ability to independently perform...",33394,157663,Elmendorf AFB, AK
38,            General Natural Resources Management and Biological Sciences...,"Elmendorf AFB, AK",        US Department of the Air Force,"            The primary purpose of this position is to serve as a Biological Scientist participating in project management, execution, and operations...",50598,134038,Elmendorf AFB, AK
39,            Psychologist,"Anchorage, AK",        US Department of Veterans Affairs,"            Ability to perform basic research tasks of scholarship and research execution within the context of an established research team, including...",67930,125865,Anchorage, AK
40,Data Scientist,"Colorado Springs, CO 80919 (Northwest Colorado Springs area)",        Verizon,"            Filtering, aggregating and transforming data based on direction from SME's and data scientists. Experience as a data scientist, analyst, or statistical modeler....",83000,123000,Colorado Springs, CO
41,Data Scientist,"Colorado Springs, CO 80906 (Southwest Colorado Springs area)",        MEI Technologies,            IRES - Data Scientist (AS0003XO)*. The Data Scientist will work on the IRES Program supporting the Missile Defense Agency....,87000,128000,Colorado Springs, CO
42,            Quantitative Data Scientist,"Colorado Springs, CO",        Intrinio,            Intrinio is looking for a data scientist to design the next generation of financial data products. The ideal candidate will have led teams of data analysts and...,98000,144000,Colorado Springs, CO
43,Data Scientist - SAFB,"Colorado Springs, CO","        Davidson Technologies, Inc.","            He/She will work across a broad range of issues by employing technologies such as data pipelines, data services, operational data stores, data warehouses, data...",100000,148000,Colorado Springs, CO
44,Data Scientist,"Colorado Springs, CO","        1) Davidson Technologies, Inc.","            He/She will work across a broad range of issues by employing technologies such as data pipelines, data services, operational data stores, data warehouses, data...",99000,146000,Colorado Springs, CO
45,Data Scientist,"Colorado Springs, CO 80920 (Briargate area)",        LinQuest Corporation,            Implement data solutions that integrate data access layers across systems. Experience with data governance....,109000,160000,Colorado Springs, CO
