Episode,Steps,,
0,98,,
1,98,,23.1145
2,98,,
3,98,,
4,98,,
5,98,,
6,98,,
7,98,,
8,19,,
9,98,,
10,98,,
11,98,,
12,98,,
13,98,,
14,98,,
15,98,,
16,98,,
17,98,,
18,98,,
19,98,,
20,98,,
21,98,,
22,98,,
23,98,,
24,98,,
25,98,,
26,98,,
27,98,,
28,98,,
29,98,,
30,98,,
31,98,,
32,98,,
33,98,,
34,98,,
35,98,,
36,98,,
37,98,,
38,98,,
39,98,,
40,98,,
41,98,,
42,98,,
43,98,,
44,98,,
45,98,,
46,98,,
47,98,,
48,98,,
49,98,,
50,98,,
51,98,,
52,98,,
53,98,,
54,98,,
55,98,,
56,98,,
57,98,,
58,98,,
59,98,,
60,98,,
61,98,,
62,98,,
63,98,,
64,98,,
65,98,,
66,98,,
67,98,,
68,98,,
69,98,,
70,98,,
71,98,,
72,98,,
73,25,,
74,98,,
75,98,,
76,98,,
77,98,,
78,21,,
79,98,,
80,98,,
81,98,,
82,71,,
83,98,,
84,98,,
85,98,,
86,98,,
87,98,,
88,59,,
89,98,,
90,98,,
91,98,,
92,98,,
93,82,,
94,98,,
95,98,,
96,98,,
97,97,,
98,98,,
99,98,,
100,98,,
101,59,,
102,98,,
103,98,,
104,98,,
105,98,,
106,98,,
107,98,,
108,98,,
109,98,,
110,98,,
111,98,,
112,98,,
113,98,,
114,45,,
115,98,,
116,98,,
117,98,,
118,98,,
119,98,,
120,69,,
121,98,,
122,98,,
123,25,,
124,98,,
125,98,,
126,74,,
127,16,,
128,98,,
129,98,,
130,98,,
131,98,,
132,98,,
133,71,,
134,94,,
135,95,,
136,83,,
137,98,,
138,98,,
139,39,,
140,98,,
141,98,,
142,98,,
143,70,,
144,98,,
145,98,,
146,98,,
147,25,,
148,98,,
149,98,,
150,72,,
151,80,,
152,98,,
153,98,,
154,98,,
155,98,,
156,19,,
157,98,,
158,98,,
159,98,,
160,68,,
161,62,,
162,98,,
163,98,,
164,98,,
165,12,,
166,98,,
167,45,,
168,98,,
169,98,,
170,47,,
171,98,,
172,98,,
173,98,,
174,74,,
175,98,,
176,98,,
177,47,,
178,98,,
179,97,,
180,98,,
181,49,,
182,88,,
183,33,,
184,76,,
185,98,,
186,98,,
187,98,,
188,98,,
189,42,,
190,36,,
191,69,,
192,30,,
193,81,,
194,61,,
195,98,,
196,63,,
197,67,,
198,17,,
199,98,,
200,25,,
201,48,,
202,98,,
203,98,,
204,98,,
205,49,,
206,25,,
207,44,,
208,80,,
209,86,,
210,74,,
211,98,,
212,61,,
213,98,,
214,33,,
215,42,,
216,54,,
217,49,,
218,22,,
219,10,,
220,59,,
221,23,,
222,69,,
223,98,,
224,98,,
225,98,,
226,26,,
227,29,,
228,29,,
229,92,,
230,13,,
231,98,,
232,72,,
233,10,,
234,98,,
235,60,,
236,98,,
237,41,,
238,27,,
239,98,,
240,98,,
241,77,,
242,81,,
243,38,,
244,98,,
245,11,,
246,66,,
247,27,,
248,47,,
249,98,,
250,20,,
251,9,,
252,89,,
253,22,,
254,12,,
255,56,,
256,13,,
257,26,,
258,6,,
259,19,,
260,98,,
261,87,,
262,7,,
263,20,,
264,52,,
265,98,,
266,28,,
267,56,,
268,98,,
269,20,,
270,50,,
271,48,,
272,75,,
273,70,,
274,8,,
275,98,,
276,17,,
277,98,,
278,94,,
279,30,,
280,96,,
281,16,,
282,14,,
283,9,,
284,16,,
285,98,,
286,55,,
287,27,,
288,12,,
289,82,,
290,16,,
291,42,,
292,10,,
293,30,,
294,37,,
295,17,,
296,30,,
297,48,,
298,15,,
299,41,,
300,10,,
301,43,,
302,13,,
303,18,,
304,14,,
305,25,,
306,39,,
307,36,,
308,29,,
309,42,,
310,21,,
311,33,,
312,12,,
313,51,,
314,19,,
315,25,,
316,33,,
317,55,,
318,23,,
319,21,,
320,53,,
321,79,,
322,21,,
323,32,,
324,12,,
325,36,,
326,30,,
327,17,,
328,21,,
329,22,,
330,25,,
331,12,,
332,11,,
333,19,,
334,12,,
335,63,,
336,95,,
337,98,,
338,49,,
339,17,,
340,47,,
341,98,,
342,22,,
343,31,,
344,15,,
345,98,,
346,25,,
347,5,,
348,49,,
349,12,,
350,21,,
351,15,,
352,24,,
353,43,,
354,10,,
355,19,,
356,22,,
357,16,,
358,7,,
359,20,,
360,11,,
361,23,,
362,8,,
363,11,,
364,16,,
365,10,,
366,22,,
367,61,,
368,10,,
369,10,,
370,11,,
371,13,,
372,15,,
373,34,,
374,14,,
375,12,,
376,38,,
377,12,,
378,17,,
379,12,,
380,22,,
381,58,,
382,8,,
383,13,,
384,12,,
385,41,,
386,16,,
387,16,,
388,15,,
389,31,,
390,22,,
391,18,,
392,15,,
393,14,,
394,21,,
395,10,,
396,14,,
397,10,,
398,7,,
399,12,,
400,9,,
401,14,,
402,12,,
403,64,,
404,16,,
405,25,,
406,12,,
407,14,,
408,17,,
409,17,,
410,24,,
411,13,,
412,17,,
413,19,,
414,16,,
415,20,,
416,29,,
417,10,,
418,10,,
419,15,,
420,41,,
421,11,,
422,10,,
423,13,,
424,39,,
425,10,,
426,25,,
427,25,,
428,18,,
429,19,,
430,29,,
431,15,,
432,15,,
433,12,,
434,17,,
435,14,,
436,14,,
437,25,,
438,17,,
439,22,,
440,24,,
441,12,,
442,11,,
443,14,,
444,11,,
445,15,,
446,13,,
447,17,,
448,20,,
449,7,,
450,11,,
451,18,,
452,10,,
453,12,,
454,38,,
455,15,,
456,10,,
457,21,,
458,16,,
459,6,,
460,21,,
461,9,,
462,15,,
463,16,,
464,20,,
465,10,,
466,13,,
467,31,,
468,14,,
469,16,,
470,14,,
471,13,,
472,14,,
473,12,,
474,36,,
475,13,,
