               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10475,            0.027818,            0.040983,           0.0023497,             0.57835,            0.010755,           0.0028841,            0.095256,            0.014575,            0.037868,              0.0802,              0.0022,              0.0022
                   1,            0.083585,            0.024672,            0.031095,           0.0025061,             0.54671,            0.021892,            0.006469,            0.089065,            0.011485,            0.032132,            0.059489,           0.0044889,           0.0044889
                   2,             0.07252,            0.023977,            0.022543,              0.4761,             0.11273,            0.082282,             0.02592,            0.078261,            0.010962,            0.022244,            0.038766,           0.0067663,           0.0067663
                   3,            0.068324,            0.021675,            0.013497,             0.56471,             0.21009,              0.1615,            0.039453,            0.080929,            0.010106,            0.012065,            0.018032,           0.0090324,           0.0090324
                   4,            0.067274,            0.018955,            0.010582,             0.18781,             0.22904,             0.16427,            0.063338,            0.073767,            0.011638,            0.007828,            0.009901,            0.009901,            0.009901
                   5,            0.061272,            0.019477,           0.0083022,             0.18375,              0.3908,             0.16555,            0.065597,             0.07063,            0.011782,           0.0092875,            0.009901,            0.009901,            0.009901
                   6,            0.060184,            0.016726,           0.0075208,              0.3424,              0.3959,             0.34172,             0.14606,             0.06709,            0.010373,           0.0046811,           0.0098763,           0.0098763,           0.0098763
                   7,            0.058707,            0.017953,            0.007118,              0.4302,             0.14637,             0.14951,            0.065989,            0.075797,           0.0099678,            0.027656,           0.0098515,           0.0098515,           0.0098515
                   8,            0.056938,            0.016576,           0.0060108,              0.4089,             0.41468,             0.36538,             0.16063,            0.062724,            0.010045,           0.0044139,           0.0098268,           0.0098268,           0.0098268
                   9,             0.05198,            0.016886,           0.0059612,             0.50902,              0.4226,             0.40641,             0.17091,            0.060258,           0.0091188,           0.0069636,            0.009802,            0.009802,            0.009802
                  10,            0.051869,            0.017389,           0.0045432,             0.48786,              0.3923,             0.36284,             0.15051,            0.057841,           0.0097767,           0.0079649,           0.0097773,           0.0097773,           0.0097773
                  11,            0.046469,            0.016929,           0.0044836,             0.56714,             0.45564,             0.51504,             0.24606,            0.056166,           0.0085924,           0.0046608,           0.0097525,           0.0097525,           0.0097525
                  12,            0.047045,            0.015135,             0.00625,             0.63017,             0.55287,             0.56377,             0.27523,            0.054477,           0.0087835,           0.0047434,           0.0097278,           0.0097278,           0.0097278
                  13,            0.049529,             0.01592,           0.0046425,             0.44144,              0.3876,             0.35059,             0.15869,            0.059312,            0.010293,           0.0046259,            0.009703,            0.009703,            0.009703
                  14,            0.048934,            0.015252,           0.0048993,             0.57934,             0.55049,             0.54426,             0.26605,            0.050546,           0.0091649,           0.0034172,           0.0096783,           0.0096783,           0.0096783
                  15,            0.049306,            0.015332,            0.004297,             0.62918,             0.52955,             0.51923,             0.24584,            0.049806,            0.009106,           0.0025458,           0.0096535,           0.0096535,           0.0096535
                  16,            0.043774,            0.014804,           0.0035786,             0.67706,             0.59654,             0.60066,             0.27705,            0.049992,           0.0087526,           0.0028381,           0.0096288,           0.0096288,           0.0096288
                  17,            0.043791,            0.015711,           0.0043819,             0.65091,             0.56978,               0.566,             0.28916,            0.050528,           0.0093938,           0.0027711,            0.009604,            0.009604,            0.009604
                  18,            0.045305,            0.016563,           0.0042064,             0.63797,             0.42293,             0.45599,             0.22523,             0.05975,           0.0094088,           0.0021941,           0.0095793,           0.0095793,           0.0095793
